Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.08832"
"0.10000","0.01000","0.11059"
"0.20000","0.04354","0.17706"
"0.30000","0.07472","0.24592"
"0.40000","0.10540","0.34458"
"0.50000","0.13583","0.45239"
"0.60000","0.16625","0.58842"
"0.70000","0.19651","0.75772"
"0.80000","0.22697","0.95987"
"0.90000","0.25739","1.19755"
"1.00000","0.28789","1.49254"
"1.10000","0.31835","1.83472"
"1.20000","0.34881","2.24059"
"1.30000","0.37907","2.71052"
"1.40000","0.40966","3.26912"
"1.50000","0.43987","3.92010"
"1.60000","0.47026","4.66719"
"1.70000","0.50078","5.51813"
"1.80000","0.53133","6.46688"
"1.90000","0.56153","7.53056"
"2.00000","0.59206","8.74954"
"2.10000","0.62259","10.06736"
"2.20000","0.65284","11.51520"
"2.30000","0.68313","13.08458"
"2.40000","0.71357","14.81175"
"2.50000","0.74424","16.64667"
"2.60000","0.77463","18.55941"
"2.70000","0.80508","20.59128"
"2.80000","0.83534","22.66885"
"2.90000","0.86588","24.87439"
"3.00000","0.89609","27.14377"
"3.10000","0.92653","29.46692"
"3.20000","0.95724","31.79649"
"3.30000","0.98785","34.22431"
"3.40000","1.01787","36.67248"
"3.50000","1.04816","39.14017"
"3.55400","1.06487","40.52814"
"3.55500","1.06517","40.55269"
"3.55600","1.06547","40.57724"
"3.65600","1.07547","40.61458"
"3.75600","1.07402","39.79595"
"3.85600","1.07283","39.20985"
"3.95600","1.07211","38.77728"
"4.05600","1.07178","38.44178"
"4.15600","1.07165","38.17836"
"4.25600","1.07166","37.94395"
"4.35600","1.07156","37.73345"
"4.45600","1.07156","37.54782"
"4.55600","1.07156","37.37707"
"4.65600","1.07156","37.22107"
"4.75600","1.07156","37.08998"
"4.85600","1.07156","36.94393"
"4.95600","1.07156","36.81667"
"5.05600","1.07156","36.71051"
"5.15600","1.07156","36.58894"
"5.25600","1.07156","36.48742"
"5.35600","1.07156","36.38724"
"5.45600","1.07156","36.29325"
"5.55600","1.07156","36.19885"
"5.65600","1.07147","36.11164"
"5.75600","1.07148","36.02920"
"5.85600","1.07152","35.95689"
"5.95600","1.07153","35.89227"
"6.05600","1.07155","35.80731"
"6.15600","1.07156","35.73631"
"6.25600","1.07156","35.67135"
"6.35600","1.07156","35.60043"
"6.45600","1.07156","35.54157"
"6.55600","1.07156","35.47247"
"6.65600","1.07156","35.41594"
"6.75600","1.07156","35.36375"
"6.85600","1.07156","35.29445"
"6.95600","1.07156","35.23626"
"7.05600","1.07156","35.19064"
"7.15600","1.07156","35.14106"
"7.25600","1.07156","35.08736"
"7.35600","1.07156","35.04070"
"7.45600","1.07156","34.98660"
"7.55600","1.07156","34.94424"
"7.65600","1.07156","34.89193"
"7.75600","1.07156","34.85123"
"7.85600","1.07156","34.80248"
"7.95600","1.07156","34.76495"
"8.05600","1.07156","34.71878"
"8.15600","1.07156","34.67973"
"8.25600","1.07156","34.63398"
"8.35600","1.07156","34.59279"
"8.45600","1.07156","34.55598"
"8.55600","1.07156","34.51683"
"8.65600","1.07156","34.47434"
"8.75600","1.07156","34.44738"
"8.85600","1.07156","34.40416"
"8.95600","1.07156","34.37362"
"9.05600","1.07156","34.33588"
"9.15600","1.07156","34.30512"
"9.25600","1.07156","34.27095"
"9.35600","1.07156","34.24113"
"9.45600","1.07156","34.20045"
"9.55600","1.07156","34.17491"
"9.65600","1.07156","34.13342"
"9.75600","1.07156","34.11116"
"9.85600","1.07156","34.08284"
"9.95600","1.07156","34.04050"
"10.05600","1.07156","34.01163"
"10.15600","1.07156","33.98202"
"10.25600","1.07156","33.95928"
"10.35600","1.07156","33.92836"
"10.45600","1.07156","33.89919"
"10.55600","1.07156","33.87648"
"10.65600","1.07156","33.85202"
"10.75600","1.07156","33.82644"
"10.85600","1.07156","33.79734"
"10.95600","1.07156","33.75998"
"11.05600","1.07156","33.73660"
"11.15600","1.07156","33.72041"
"11.25600","1.07156","33.68599"
"11.35600","1.07156","33.65929"
"11.45600","1.07156","33.64164"
"11.55600","1.07156","33.61824"
"11.65600","1.07156","33.59212"
"11.75600","1.07156","33.56022"
"11.85600","1.07156","33.54128"
"11.95600","1.07156","33.51714"
"12.05600","1.07156","33.49480"
"12.15600","1.07156","33.47694"
"12.25600","1.07156","33.44924"
"12.35600","1.07156","33.42983"
"12.45600","1.07156","33.41704"
"12.55600","1.07156","33.38214"
"12.65600","1.07156","33.37521"
"12.75600","1.07156","33.34149"
"12.85600","1.07156","33.32525"
"12.95600","1.07156","33.30296"
"13.05600","1.07156","33.28709"
"13.15600","1.07156","33.26030"
"13.25600","1.07156","33.24229"
"13.35600","1.07156","33.22469"
"13.45600","1.07156","33.19815"
"13.55600","1.07156","33.18779"
"13.65600","1.07156","33.15904"
"13.75600","1.07156","33.14725"
"13.85600","1.07156","33.12192"
"13.95600","1.07156","33.10719"
"14.05600","1.07156","33.08791"
"14.15600","1.07156","33.07129"
"14.25600","1.07156","33.05664"
"14.35600","1.07156","33.03377"
"14.45600","1.07156","33.02613"
"14.55600","1.07156","32.99794"
"14.65600","1.07156","32.98390"
"14.75600","1.07156","32.96633"
"14.85600","1.07156","32.95429"
"14.95600","1.07156","32.92863"
"15.05600","1.07156","32.91249"
"15.15600","1.07156","32.89739"
"15.25600","1.07156","32.88135"
"15.35600","1.07156","32.86641"
"15.45600","1.07156","32.84407"
"15.55600","1.07156","32.82990"
"15.65600","1.07156","32.81509"
"15.75600","1.07156","32.80004"
"15.85600","1.07156","32.78211"
"15.95600","1.07156","32.76954"
"16.05600","1.07156","32.75455"
"16.15600","1.07156","32.73888"
"16.25600","1.07156","32.72218"
"16.35600","1.07156","32.71136"
"16.45600","1.07156","32.69171"
"16.55600","1.07156","32.68317"
"16.65600","1.07156","32.65969"
"16.75600","1.07156","32.64891"
"16.85600","1.07156","32.63538"
"16.95600","1.07156","32.62055"
"17.05600","1.07156","32.60502"
"17.15600","1.07156","32.59212"
"17.25600","1.07156","32.57514"
"17.35600","1.07156","32.56018"
"17.45600","1.07156","32.54515"
"17.55600","1.07156","32.53622"
"17.65600","1.07156","32.51798"
"17.75600","1.07156","32.50252"
"17.85600","1.07156","32.49406"
"17.95600","1.07156","32.47913"
"18.05600","1.07156","32.46481"
"18.15600","1.07156","32.45404"
"18.25600","1.07156","32.44142"
"18.35600","1.07156","32.42995"
"18.45600","1.07156","32.41480"
"18.55600","1.07156","32.40399"
"18.65600","1.07156","32.38700"
"18.75600","1.07156","32.37483"
"18.85600","1.07156","32.37047"
"18.95600","1.07156","32.35123"
"19.05600","1.07156","32.33995"
"19.15600","1.07156","32.32917"
"19.25600","1.07156","32.30864"
"19.35600","1.07156","32.29869"
"19.45600","1.07156","32.29103"
"19.55600","1.07156","32.27225"
"19.65600","1.07156","32.26185"
"19.75600","1.07156","32.25373"
"19.85600","1.07156","32.23709"
"19.95600","1.07156","32.22412"
"20.05600","1.07156","32.21662"
"20.15600","1.07156","32.20224"
"20.25600","1.07156","32.19839"
"20.35600","1.07156","32.18154"
"20.45600","1.07156","32.17018"
"20.55600","1.07156","32.15435"
"20.65600","1.07156","32.14946"
"20.75600","1.07156","32.14053"
"20.85600","1.07156","32.12304"
"20.95600","1.07156","32.11214"
"21.05600","1.07156","32.10058"
"21.15600","1.07156","32.09820"
"21.25600","1.07156","32.08159"
"21.35600","1.07156","32.07589"
"21.45600","1.07156","32.05091"
"21.55600","1.07156","32.04389"
"21.65600","1.07156","32.04213"
"21.75600","1.07156","32.02676"
"21.85600","1.07156","32.01618"
"21.95600","1.07156","32.00111"
"22.05600","1.07156","31.98572"
"22.15600","1.07156","31.99490"
"22.25600","1.07156","31.98041"
"22.35600","1.07156","31.97452"
"22.45600","1.07156","31.95024"
"22.55600","1.07156","31.94380"
"22.65600","1.07156","31.94173"
"22.75600","1.07156","31.93130"
"22.85600","1.07156","31.92305"
"22.95600","1.07156","31.90792"
"23.05600","1.07156","31.90120"
"23.15600","1.07156","31.88956"
"23.25600","1.07156","31.87610"
"23.35600","1.07156","31.87441"
"23.45600","1.07156","31.86406"
"23.55500","1.07156","31.85298"
"23.55600","1.07156","31.85316"
"23.58800","1.07156","31.85353"
"23.68800","1.05922","30.35530"
"23.78800","1.02388","25.90247"
"23.88800","0.99328","22.47408"
"23.98800","0.96252","19.40613"
"24.08800","0.93189","16.70759"
"24.18800","0.90175","14.30622"
"24.28800","0.87150","12.13165"
"24.38800","0.84092","10.18959"
"24.48800","0.81034","8.47275"
"24.58800","0.77984","6.96071"
"24.68800","0.74963","5.65754"
"24.78800","0.71918","4.56176"
"24.88800","0.68872","3.63176"
"24.98800","0.65847","2.86975"
"25.08800","0.62799","2.23266"
"25.18800","0.59740","1.72878"
"25.28800","0.56697","1.31805"
"25.38800","0.53675","1.01792"
"25.48800","0.50630","0.77423"
"25.58800","0.47584","0.59116"
"25.68800","0.44544","0.44253"
"25.78800","0.41511","0.33957"
"25.88800","0.38447","0.24628"
"25.98800","0.35415","0.17669"
"26.08800","0.32364","0.13043"
"26.18800","0.29333","0.09010"
"26.28800","0.26281","0.06755"
"26.38800","0.23247","0.04809"
"26.48800","0.20199","0.03904"
"26.58800","0.17170","0.02960"
"26.68800","0.14117","0.01810"
"26.78800","0.11080","0.01073"
"26.88800","0.08033","0.00520"
"26.98800","0.04989","0.00217"
"27.08800","0.01931","0.00154"
"27.13000","0.00661","0.00304"
"27.13100","0.00631","0.00341"
"27.13200","0.00601","0.00378"
"27.23200","0.00651","0.00661"
"27.33200","0.04018","0.01327"
"27.43200","0.07150","0.01905"
"27.53200","0.10211","0.03292"
"27.63200","0.13271","0.04586"
"27.73200","0.16303","0.06479"
