Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","-3.53850","0.50270"
"0.10000","-3.50259","0.94592"
"0.20000","-3.42414","2.39380"
"0.30000","-3.35025","4.52326"
"0.40000","-3.27766","7.46841"
"0.50000","-3.20473","11.30597"
"0.60000","-3.13193","15.97562"
"0.69500","-3.06322","21.00651"
"0.77800","-3.00240","26.06371"
"0.85500","-2.94646","31.12942"
"0.92800","-2.89364","36.17925"
"0.99700","-2.84351","41.24532"
"1.06200","-2.79567","46.30609"
"1.12600","-2.74928","51.34769"
"1.18800","-2.70441","56.40143"
"1.24800","-2.66088","61.42957"
"1.30600","-2.61824","66.48071"
"1.36400","-2.57609","71.50474"
"1.42100","-2.53486","76.55202"
"1.47800","-2.49352","81.63005"
"1.53400","-2.45253","86.71953"
"1.58900","-2.41244","91.73479"
"1.64400","-2.37245","96.74570"
"1.70000","-2.33193","101.79221"
"1.75500","-2.29201","106.83101"
"1.80900","-2.25232","111.85305"
"1.86400","-2.21228","116.86754"
"1.92000","-2.17177","121.91445"
"1.97600","-2.13120","126.94691"
"2.03300","-2.08972","132.03555"
"2.09000","-2.04799","137.10951"
"2.14800","-2.00575","142.15819"
"2.20700","-1.96304","147.16179"
"2.26700","-1.91955","152.20805"
"2.32800","-1.87486","157.28754"
"2.39100","-1.82896","162.31187"
"2.45700","-1.78121","167.31439"
"2.52500","-1.73197","172.32579"
"2.59500","-1.68049","177.36426"
"2.67300","-1.62394","182.40092"
"2.75500","-1.56452","187.41963"
"2.84100","-1.50160","192.42552"
"2.94000","-1.42965","197.46838"
"3.04000","-1.35718","201.49170"
"3.14000","-1.28398","203.99924"
"3.24000","-1.21155","204.14978"
"3.34000","-1.13865","202.79906"
"3.44000","-1.06585","202.63161"
"3.54000","-0.99343","199.54546"
"3.63600","-0.92320","194.54213"
"3.73600","-0.85068","194.26854"
"3.77000","-0.82600","188.13733"
"3.77200","-0.82454","181.88596"
"3.77400","-0.82308","173.98247"
"3.77600","-0.82162","164.85211"
"3.77800","-0.82016","154.83630"
"3.77900","-0.81942","149.58678"
"3.78000","-0.81869","144.22025"
"3.78100","-0.81795","138.76575"
"3.78200","-0.81720","133.25131"
"3.78300","-0.81646","127.70335"
"3.78400","-0.81572","122.14510"
"3.78500","-0.81497","116.59886"
"3.78600","-0.81422","111.08408"
"3.78700","-0.81347","105.61872"
"3.78800","-0.81271","100.22030"
"3.78900","-0.81196","94.90305"
"3.79000","-0.81120","89.68087"
"3.79100","-0.81044","84.56643"
"3.79300","-0.80892","74.70049"
"3.79500","-0.80739","65.37231"
"3.79700","-0.80586","56.62601"
"3.79900","-0.80433","48.49080"
"3.80100","-0.80280","40.98378"
"3.80300","-0.80127","34.11106"
"3.80500","-0.79974","27.86684"
"3.80700","-0.79822","22.23664"
"3.80900","-0.79671","17.20384"
"3.81200","-0.79445","10.72698"
"3.81500","-0.79221","5.44347"
"3.81900","-0.78925","0.04506"
"3.82500","-0.78488","-5.11022"
"3.88500","-0.74176","-0.06227"
"3.98500","-0.66943","0.13535"
"4.08500","-0.59690","0.12289"
"4.18500","-0.52374","0.10953"
"4.28500","-0.45137","0.08136"
"4.38500","-0.37847","0.06752"
"4.48500","-0.30563","0.06274"
"4.58500","-0.23316","0.05920"
"4.68500","-0.16005","0.04934"
"4.78500","-0.08758","0.03871"
"4.88500","-0.01472","0.04238"
"4.98500","0.05811","0.03798"
"5.08500","0.13056","0.03839"
"5.18500","0.20371","0.03539"
"5.28500","0.27620","0.03726"
"5.38500","0.34892","0.02862"
"5.48500","0.42197","0.03088"
"5.58500","0.49442","0.02275"
"5.68500","0.56742","0.03731"
"5.78500","0.64008","0.03116"
"5.88500","0.71266","0.02671"
"5.90600","0.72794","0.02909"
"5.90700","0.72868","0.02938"
"5.90800","0.72941","0.02972"
"6.00800","0.71659","0.02065"
"6.10800","0.63901","0.03456"
"6.20800","0.56540","0.03475"
"6.30800","0.49254","0.03604"
"6.40800","0.41995","0.03267"
"6.50800","0.34681","0.02833"
"6.60800","0.27444","0.02329"
"6.70800","0.20163","0.02807"
"6.80800","0.12865","0.03148"
"6.90800","0.05621","0.02328"
"6.98500","-0.00002","0.03216"
"6.98600","-0.00075","0.03222"
"6.98700","-0.00148","0.03228"
"7.08700","0.01064","0.04107"
"7.18700","0.08893","0.01890"
"7.28700","0.16250","0.02594"
"7.38700","0.23554","0.02903"
"7.48700","0.30800","0.03259"
"7.58700","0.38115","0.02359"
"7.68700","0.45367","0.02740"
"7.78700","0.52630","0.02264"
"7.88700","0.59929","0.02305"
"7.98700","0.67191","0.02178"
"8.06400","0.72788","0.02622"
"8.06500","0.72861","0.02645"
"8.06600","0.72934","0.02664"
"8.16600","0.71653","0.01724"
"8.26600","0.63907","0.03287"
"8.36600","0.56546","0.02671"
"8.46600","0.49259","0.02094"
"8.56600","0.42002","0.02172"
"8.66600","0.34689","0.02573"
"8.76600","0.27450","0.02639"
"8.86600","0.20170","0.02043"
"8.96600","0.12870","0.01779"
"9.06600","0.05627","0.02645"
"9.14400","-0.00068","0.02691"
"9.14500","-0.00141","0.02721"
"9.14600","-0.00214","0.02746"
"9.24600","0.00982","0.02802"
"9.34600","0.08818","0.02473"
"9.44600","0.16173","0.02022"
"9.54600","0.23478","0.02373"
"9.64600","0.30724","0.02543"
"9.74600","0.38038","0.02294"
"9.76000","0.39062","0.02387"
