Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.22325,1189,1580,1648,1738
0.1,0.04912,0.37909,,,,
0.2,0.14932,0.79376,,,,
0.3,0.24366,1.35851,,,,
0.4,0.33745,2.09747,,,,
0.5,0.43106,3.03579,,,,
0.6,0.52485,4.20079,,,,
0.7,0.61842,5.61704,,,,
0.8,0.71213,7.36267,,,,
0.9,0.80585,9.47367,,,,
1,0.89956,12.05463,,,,
1.04,0.93717,13.21138,,,,
1.041,0.93811,13.2407,,,,
1.042,0.93904,13.27013,,,,
1.142,0.91879,10.69286,,,,
1.242,0.82001,6.41056,,,,
1.342,0.7256,3.88551,,,,
1.442,0.63185,2.29987,,,,
1.542,0.53806,1.31795,,,,
1.642,0.44435,0.72757,,,,
1.742,0.35063,0.39013,,,,
1.842,0.2569,0.20517,,,,
1.942,0.16312,0.09929,,,,
2.042,0.06954,0.0586,,,,
2.117,-0.00055,0.044,,,,
2.118,-0.00149,0.04394,,,,
2.119,-0.00244,0.04382,,,,
2.219,0.01782,0.07828,,,,
2.319,0.1167,0.1396,,,,
2.419,0.21157,0.28445,,,,
2.519,0.30512,0.57494,,,,
2.619,0.39916,1.07094,,,,
2.719,0.49249,1.82542,,,,
2.819,0.58655,2.95088,,,,
2.919,0.67985,4.52525,,,,
3.019,0.77392,6.6789,,,,
3.119,0.8672,9.53063,,,,
3.194,0.93789,12.1403,,,,
3.195,0.93882,12.17665,,,,
3.196,0.93976,12.21301,,,,
3.296,0.91944,10.04545,,,,
3.396,0.82069,5.89417,,,,
3.496,0.72633,3.49665,,,,
3.596,0.63256,2.01943,,,,
3.696,0.53877,1.12485,,,,
3.796,0.44507,0.60285,,,,
3.896,0.35137,0.31057,,,,
3.996,0.25762,0.16132,,,,
4.096,0.16385,0.0924,,,,
4.196,0.07028,0.05684,,,,
4.272,-0.0008,0.03244,,,,
4.273,-0.00174,0.03234,,,,
4.274,-0.00268,0.03223,,,,
4.374,0.01753,0.06316,,,,
4.474,0.11642,0.11013,,,,
4.574,0.21128,0.22251,,,,
4.674,0.30483,0.44963,,,,
4.774,0.39886,0.87174,,,,
4.874,0.4922,1.5428,,,,
4.974,0.58625,2.57598,,,,
5.074,0.67955,4.06048,,,,
5.174,0.77363,6.1526,,,,
5.274,0.8669,8.98084,,,,
5.349,0.93759,11.63737,,,,
5.35,0.93853,11.67563,,,,
5.351,0.93946,11.71399,,,,
5.451,0.91925,9.67791,,,,
5.551,0.82045,5.61727,,,,
5.651,0.72607,3.28139,,,,
5.751,0.6323,1.87464,,,,
5.851,0.53851,1.02177,,,,
5.951,0.44482,0.54116,,,,
6.051,0.35109,0.27908,,,,
6.151,0.25737,0.13784,,,,
6.251,0.1636,0.0717,,,,
6.351,0.07002,0.04504,,,,
6.426,-0.00011,0.02868,,,,
6.427,-0.00106,0.02865,,,,
6.428,-0.002,0.02859,,,,
6.528,0.01812,0.06037,,,,
6.628,0.11703,0.10168,,,,
6.728,0.21191,0.19094,,,,
6.828,0.30543,0.39333,,,,
6.928,0.39945,0.77896,,,,
7.028,0.4928,1.40479,,,,
7.128,0.58688,2.37963,,,,
7.228,0.68014,3.81998,,,,
7.328,0.77423,5.86699,,,,
7.428,0.86752,8.68597,,,,
7.502,0.93728,11.32724,,,,
7.503,0.93822,11.36583,,,,
7.504,0.93915,11.40439,,,,
7.604,0.91891,9.43519,,,,
7.704,0.82014,5.42744,,,,
7.804,0.72576,3.14496,,,,
7.904,0.632,1.77247,,,,
8.004,0.5382,0.96474,,,,
8.104,0.44452,0.50432,,,,
8.204,0.35081,0.24727,,,,
8.304,0.25703,0.13059,,,,
8.404,0.16329,0.07462,,,,
8.504,0.0697,0.04574,,,,
8.579,-0.00041,0.03514,,,,
8.58,-0.00135,0.03488,,,,
8.581,-0.0023,0.03466,,,,
8.681,0.01766,0.04587,,,,
8.781,0.11662,0.09325,,,,
8.881,0.21152,0.17541,,,,
8.981,0.30502,0.36387,,,,
9.081,0.39906,0.71361,,,,
9.181,0.49244,1.30511,,,,
9.281,0.58649,2.24378,,,,
9.381,0.67975,3.63596,,,,
9.481,0.77386,5.65825,,,,
9.581,0.8671,8.43896,,,,
9.656,0.93782,11.12866,,,,
9.657,0.93876,11.16721,,,,
9.658,0.93969,11.2058,,,,
9.758,0.91964,9.29809,,,,
9.858,0.82075,5.30799,,,,
9.958,0.72638,3.04448,,,,
10.058,0.63261,1.70069,,,,
10.158,0.53881,0.91225,,,,
10.258,0.44512,0.46924,,,,
10.358,0.35144,0.23108,,,,
10.458,0.25764,0.11785,,,,
10.558,0.1639,0.06553,,,,
10.658,0.07031,0.037,,,,
10.734,-0.00074,0.03073,,,,
10.735,-0.00169,0.03042,,,,
10.736,-0.00263,0.03003,,,,
10.836,0.01707,0.04791,,,,
10.936,0.11621,0.08584,,,,
11.036,0.21117,0.16553,,,,
11.136,0.30465,0.32992,,,,
11.236,0.39867,0.6639,,,,
11.336,0.49207,1.22662,,,,
11.436,0.58612,2.13368,,,,
11.536,0.67939,3.50747,,,,
11.636,0.77349,5.49316,,,,
11.736,0.86672,8.25484,,,,
11.811,0.93746,10.9399,,,,
11.812,0.9384,10.97854,,,,
11.813,0.93933,11.01731,,,,
11.913,0.91926,9.13511,,,,
12.013,0.82036,5.18258,,,,
12.113,0.72601,2.96095,,,,
12.213,0.63224,1.64065,,,,
12.313,0.53845,0.8734,,,,
12.413,0.44476,0.43872,,,,
12.513,0.35105,0.21189,,,,
12.613,0.2573,0.10943,,,,
12.713,0.16352,0.06818,,,,
12.813,0.06994,0.03675,,,,
12.888,-0.00018,0.02888,,,,
12.889,-0.00112,0.02882,,,,
12.89,-0.00207,0.02864,,,,
12.99,0.01784,0.04321,,,,
13.09,0.11679,0.09093,,,,
13.19,0.21174,0.15831,,,,
13.29,0.30521,0.31115,,,,
13.39,0.39924,0.62478,,,,
13.49,0.49262,1.17302,,,,
13.59,0.58669,2.07316,,,,
13.69,0.67995,3.41062,,,,
13.79,0.77406,5.38711,,,,
13.89,0.86729,8.13778,,,,
13.964,0.93708,10.79017,,,,
13.965,0.93801,10.82946,,,,
13.966,0.93895,10.86875,,,,
14.066,0.91889,9.00177,,,,
14.166,0.82002,5.08651,,,,
14.266,0.72564,2.88578,,,,
14.366,0.63187,1.5886,,,,
14.466,0.53809,0.83254,,,,
14.566,0.4444,0.42842,,,,
14.666,0.35068,0.2108,,,,
14.766,0.25695,0.10561,,,,
14.866,0.16317,0.06009,,,,
14.966,0.06959,0.03214,,,,
15.041,-0.00051,0.02865,,,,
15.042,-0.00146,0.02873,,,,
15.043,-0.0024,0.02871,,,,
15.143,0.01743,0.0444,,,,
15.243,0.11639,0.08137,,,,
15.343,0.21132,0.15123,,,,
15.443,0.30481,0.29998,,,,
15.543,0.39885,0.60023,,,,
15.643,0.49223,1.12509,,,,
15.743,0.58628,2.00138,,,,
15.843,0.67955,3.31544,,,,
15.943,0.77365,5.26285,,,,
16.043,0.86688,8.00599,,,,
16.118,0.9376,10.68484,,,,
16.119,0.93853,10.72367,,,,
16.12,0.93947,10.76249,,,,
16.22,0.91948,8.92486,,,,
16.32,0.82058,5.02459,,,,
16.42,0.72621,2.83345,,,,
16.52,0.63243,1.55179,,,,
16.62,0.53865,0.80827,,,,
16.72,0.44495,0.40724,,,,
16.82,0.35122,0.20197,,,,
16.92,0.2575,0.09607,,,,
17.02,0.1637,0.06074,,,,
17.12,0.07015,0.03977,,,,
17.196,-0.00091,0.02633,,,,
17.197,-0.00186,0.02563,,,,
17.198,-0.0028,0.02498,,,,
17.298,0.0169,0.04053,,,,
17.398,0.11594,0.07958,,,,
17.498,0.21088,0.13877,,,,
17.598,0.30434,0.28168,,,,
17.698,0.3984,0.57271,,,,
17.798,0.49176,1.08851,,,,
17.898,0.58582,1.9397,,,,
17.998,0.67909,3.23833,,,,
18.098,0.77321,5.1708,,,,
18.198,0.86642,7.89654,,,,
18.273,0.93715,10.57049,,,,
18.274,0.93808,10.60955,,,,
18.275,0.93902,10.64869,,,,
18.375,0.91898,8.82351,,,,
18.475,0.82011,4.94688,,,,
18.575,0.72575,2.7834,,,,
18.675,0.63197,1.51232,,,,
18.775,0.53818,0.79281,,,,
18.875,0.44451,0.39315,,,,
18.975,0.35079,0.19112,,,,
19.075,0.25705,0.10071,,,,
19.175,0.16326,0.0577,,,,
19.275,0.06972,0.03742,,,,
19.35,-0.00043,0.01585,,,,
19.351,-0.00137,0.01542,,,,
19.352,-0.00231,0.01489,,,,
19.452,0.01733,0.04038,,,,
19.552,0.11641,0.06976,,,,
19.652,0.21135,0.12984,,,,
19.752,0.30481,0.26906,,,,
19.852,0.39888,0.55235,,,,
19.952,0.49223,1.04946,,,,
20.052,0.5863,1.89769,,,,
20.152,0.67957,3.18251,,,,
20.252,0.77367,5.10207,,,,
20.352,0.86689,7.82608,,,,
20.427,0.93762,10.4947,,,,
20.428,0.93855,10.53381,,,,
20.429,0.93949,10.57308,,,,
20.529,0.91942,8.76002,,,,
20.629,0.82056,4.89744,,,,
20.729,0.72622,2.74078,,,,
20.829,0.63244,1.48002,,,,
20.929,0.53866,0.77337,,,,
21.029,0.44498,0.38039,,,,
21.129,0.35124,0.18095,,,,
21.229,0.25751,0.09194,,,,
21.329,0.16371,0.05959,,,,
21.429,0.07018,0.03248,,,,
21.505,-0.0009,0.02538,,,,
21.506,-0.00184,0.02522,,,,
21.507,-0.00279,0.02495,,,,
21.607,0.01685,0.04131,,,,
21.707,0.11595,0.06568,,,,
21.807,0.21086,0.13623,,,,
21.907,0.3043,0.26171,,,,
22.007,0.39841,0.52766,,,,
22.107,0.49175,1.02477,,,,
