Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27949"
"0.10000","0.01089","0.32608"
"0.20000","0.05241","0.43774"
"0.30000","0.08763","0.53424"
"0.40000","0.12243","0.63921"
"0.50000","0.15727","0.76584"
"0.60000","0.19229","0.90419"
"0.70000","0.22742","1.06723"
"0.80000","0.26221","1.23982"
"0.90000","0.29690","1.44898"
"1.00000","0.33167","1.68372"
"1.10000","0.36648","1.95211"
"1.20000","0.40162","2.24833"
"1.30000","0.43644","2.58710"
"1.40000","0.47119","2.96138"
"1.50000","0.50609","3.37070"
"1.60000","0.54090","3.80591"
"1.70000","0.57588","4.33104"
"1.80000","0.61065","4.91331"
"1.90000","0.64555","5.54684"
"2.00000","0.68039","6.23460"
"2.10000","0.71535","6.98947"
"2.20000","0.75021","7.82751"
"2.30000","0.78515","8.68534"
"2.40000","0.81998","9.67556"
"2.50000","0.85481","10.74300"
"2.60000","0.88977","11.90047"
"2.70000","0.92468","13.14894"
"2.80000","0.95976","14.50039"
"2.90000","0.99456","15.93451"
"3.00000","1.02927","17.49093"
"3.10000","1.06414","19.14699"
"3.20000","1.09903","20.90379"
"3.30000","1.13423","22.76651"
"3.40000","1.16909","24.68897"
"3.50000","1.20390","26.75647"
"3.54900","1.22086","27.78256"
"3.55000","1.22121","27.80420"
"3.55100","1.22156","27.82582"
"3.65100","1.23322","27.84450"
"3.75100","1.23134","27.12310"
"3.85100","1.22988","26.63547"
"3.95100","1.22912","26.29504"
"4.05100","1.22880","26.02535"
"4.15100","1.22871","25.81560"
"4.25100","1.22869","25.62800"
"4.35100","1.22869","25.46418"
"4.45100","1.22868","25.31936"
"4.55100","1.22859","25.18545"
"4.65100","1.22859","25.06318"
"4.75100","1.22862","24.95635"
"4.85100","1.22865","24.84791"
"4.95100","1.22865","24.75241"
"5.05100","1.22866","24.65527"
"5.15100","1.22869","24.57279"
"5.25100","1.22869","24.48898"
"5.35100","1.22869","24.41221"
"5.45100","1.22869","24.33395"
"5.55100","1.22869","24.26291"
"5.65100","1.22869","24.19945"
"5.75100","1.22869","24.13278"
"5.85100","1.22869","24.06935"
"5.95100","1.22869","24.00444"
"6.05100","1.22869","23.95395"
"6.15100","1.22869","23.89732"
"6.25100","1.22869","23.83615"
"6.35100","1.22869","23.78930"
"6.45100","1.22869","23.72736"
"6.55100","1.22869","23.68046"
"6.65100","1.22869","23.63635"
"6.75100","1.22869","23.58827"
"6.85100","1.22869","23.53771"
"6.95100","1.22869","23.50069"
"7.05100","1.22869","23.46465"
"7.15100","1.22869","23.41535"
"7.25100","1.22869","23.37683"
"7.35100","1.22869","23.33364"
"7.45100","1.22869","23.29301"
"7.55100","1.22869","23.25554"
"7.65100","1.22869","23.22291"
"7.75100","1.22869","23.18592"
"7.85100","1.22869","23.14315"
"7.95100","1.22869","23.12164"
"8.05100","1.22869","23.07798"
"8.15100","1.22869","23.04786"
"8.25100","1.22869","23.01734"
"8.35100","1.22869","22.98701"
"8.45100","1.22869","22.94670"
"8.55100","1.22869","22.91973"
"8.65100","1.22869","22.89301"
"8.75100","1.22869","22.86156"
"8.85100","1.22869","22.82926"
"8.95100","1.22869","22.80303"
"9.05100","1.22869","22.77756"
"9.15100","1.22869","22.75306"
"9.25100","1.22869","22.73151"
"9.35100","1.22869","22.68985"
"9.45100","1.22869","22.67460"
"9.55100","1.22869","22.64260"
"9.65100","1.22869","22.61267"
"9.75100","1.22869","22.58694"
"9.85100","1.22869","22.56213"
"9.95100","1.22864","22.54111"
"10.05100","1.22865","22.52299"
"10.15100","1.22865","22.49813"
"10.25100","1.22867","22.47647"
"10.35100","1.22869","22.44847"
"10.45100","1.22869","22.42614"
"10.55100","1.22869","22.40540"
"10.65100","1.22869","22.38576"
"10.75100","1.22869","22.36090"
"10.85100","1.22869","22.33499"
"10.95100","1.22869","22.32556"
"11.05100","1.22869","22.29725"
"11.15100","1.22869","22.28056"
"11.25100","1.22869","22.25604"
"11.35100","1.22869","22.24081"
"11.45100","1.22869","22.21667"
"11.55100","1.22869","22.19981"
"11.65100","1.22869","22.17726"
"11.75100","1.22869","22.16489"
"11.85100","1.22869","22.12762"
"11.95100","1.22869","22.11989"
"12.05100","1.22869","22.10563"
"12.15100","1.22869","22.07972"
"12.25100","1.22869","22.06414"
"12.35100","1.22869","22.04459"
"12.45100","1.22869","22.02508"
"12.55100","1.22869","22.00142"
"12.65100","1.22869","21.99788"
"12.75100","1.22869","21.97777"
"12.85100","1.22869","21.96078"
"12.95100","1.22869","21.94872"
"13.05100","1.22869","21.92130"
"13.15100","1.22869","21.91055"
"13.25100","1.22869","21.89586"
"13.35100","1.22869","21.88150"
"13.45100","1.22869","21.86193"
"13.55100","1.22869","21.84853"
"13.65100","1.22869","21.82574"
"13.75100","1.22869","21.81342"
"13.85100","1.22869","21.79630"
"13.95100","1.22869","21.78105"
"14.05100","1.22869","21.76972"
"14.15100","1.22869","21.75099"
"14.25100","1.22869","21.73874"
"14.35100","1.22869","21.72527"
"14.45100","1.22869","21.71019"
"14.55100","1.22869","21.69819"
"14.65100","1.22869","21.67565"
"14.75100","1.22869","21.66612"
"14.85100","1.22869","21.65188"
"14.95100","1.22869","21.63334"
"15.05100","1.22869","21.62391"
"15.15100","1.22869","21.60936"
"15.25100","1.22869","21.59089"
"15.35100","1.22869","21.58801"
"15.45100","1.22869","21.56731"
"15.55100","1.22869","21.55513"
"15.65100","1.22869","21.53893"
"15.75100","1.22869","21.52504"
"15.85100","1.22869","21.50839"
"15.95100","1.22869","21.50370"
"16.05100","1.22869","21.48469"
"16.15100","1.22869","21.47450"
"16.25100","1.22869","21.45889"
"16.35100","1.22869","21.44680"
"16.45100","1.22869","21.43365"
"16.55100","1.22869","21.42521"
"16.65100","1.22869","21.40948"
"16.75100","1.22869","21.39024"
"16.85100","1.22869","21.37749"
"16.95100","1.22869","21.37180"
"17.05100","1.22869","21.35961"
"17.15100","1.22869","21.34138"
"17.25100","1.22869","21.33300"
"17.35100","1.22869","21.32769"
"17.45100","1.22869","21.30479"
"17.55100","1.22869","21.29956"
"17.65100","1.22869","21.29106"
"17.75100","1.22869","21.27845"
"17.85100","1.22869","21.27085"
"17.95100","1.22869","21.25950"
"18.05100","1.22869","21.24243"
"18.15100","1.22869","21.23273"
"18.25100","1.22869","21.22651"
"18.35100","1.22869","21.21093"
"18.45100","1.22869","21.20424"
"18.55100","1.22869","21.18270"
"18.65100","1.22869","21.18005"
"18.75100","1.22869","21.17090"
"18.85100","1.22869","21.16357"
"18.95100","1.22869","21.15124"
"19.05100","1.22869","21.13749"
"19.15100","1.22869","21.13006"
"19.25100","1.22869","21.11471"
"19.35100","1.22869","21.10342"
"19.45100","1.22869","21.09667"
"19.55100","1.22869","21.09137"
"19.65100","1.22869","21.07434"
"19.75100","1.22869","21.07019"
"19.85100","1.22869","21.05682"
"19.95100","1.22869","21.04935"
"20.05100","1.22869","21.03364"
"20.15100","1.22869","21.03451"
"20.25100","1.22869","21.01763"
"20.35100","1.22869","21.00472"
"20.45100","1.22869","20.99579"
"20.55100","1.22869","20.98950"
"20.65100","1.22869","20.97950"
"20.75100","1.22869","20.96550"
"20.85100","1.22869","20.95125"
"20.95100","1.22869","20.94566"
"21.05100","1.22869","20.94382"
"21.15100","1.22869","20.92912"
"21.25100","1.22869","20.92441"
"21.35100","1.22869","20.91514"
"21.45100","1.22869","20.90097"
"21.55100","1.22869","20.88769"
"21.65100","1.22869","20.88299"
"21.75100","1.22869","20.88172"
"21.85100","1.22869","20.86489"
"21.95100","1.22869","20.85815"
"22.05100","1.22869","20.84394"
"22.15100","1.22869","20.83355"
"22.25100","1.22869","20.82465"
"22.35100","1.22869","20.81897"
"22.45100","1.22869","20.80966"
"22.55100","1.22869","20.81091"
"22.65100","1.22869","20.78775"
"22.75100","1.22869","20.78823"
"22.85100","1.22869","20.77802"
"22.95100","1.22869","20.76151"
"23.05100","1.22869","20.75228"
"23.15100","1.22869","20.74523"
"23.25100","1.22869","20.73967"
"23.35100","1.22869","20.73173"
"23.45100","1.22869","20.72592"
"23.55000","1.22869","20.71029"
"23.55100","1.22869","20.71036"
"23.58100","1.22869","20.71484"
"23.68100","1.21377","19.29639"
"23.78100","1.17376","15.71767"
"23.88100","1.13864","13.21936"
"23.98100","1.10354","11.11707"
"24.08100","1.06874","9.34599"
"24.18100","1.03370","7.82541"
"24.28100","0.99882","6.53499"
"24.38100","0.96395","5.42662"
"24.48100","0.92904","4.48505"
"24.58100","0.89436","3.69435"
"24.68100","0.85944","3.01791"
"24.78100","0.82448","2.44588"
"24.88100","0.78951","1.98350"
"24.98100","0.75471","1.59734"
"25.08100","0.72004","1.28282"
"25.18100","0.68518","1.02946"
"25.28100","0.65021","0.82488"
"25.38100","0.61517","0.65810"
"25.48100","0.58034","0.52105"
"25.58100","0.54541","0.42566"
"25.68100","0.51083","0.35299"
"25.78100","0.47587","0.28355"
"25.88100","0.44097","0.23822"
"25.98100","0.40585","0.19929"
"26.08100","0.37085","0.16340"
"26.18100","0.33644","0.13280"
"26.28100","0.30149","0.12052"
"26.38100","0.26656","0.10652"
"26.48100","0.23158","0.09669"
"26.58100","0.19659","0.08631"
"26.68100","0.16180","0.08457"
"26.78100","0.12712","0.07763"
"26.88100","0.09223","0.07375"
"26.98100","0.05718","0.06398"
"27.08100","0.02224","0.06064"
"27.12300","0.00766","0.06768"
"27.12400","0.00730","0.06794"
"27.12500","0.00695","0.06809"
"27.22500","0.00785","0.08110"
"27.32500","0.04700","0.08428"
"27.42500","0.08246","0.08996"
"27.52500","0.11748","0.10532"
"27.62500","0.15239","0.12131"
"27.72500","0.18742","0.13729"
