Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.40584,5,405,467,486
0.01,0,0.40794,,,,
0.02,0.00007,0.40864,,,,
0.03,0.00034,0.40662,,,,
0.04,0.00097,0.41115,,,,
0.05,0.00227,0.41224,,,,
0.06,0.00389,0.41054,,,,
0.07,0.00533,0.42006,,,,
0.08,0.00677,0.43931,,,,
0.09,0.00862,0.4527,,,,
0.1,0.01131,0.47131,,,,
0.11,0.01496,0.4953,,,,
0.12,0.01932,0.51697,,,,
0.13,0.024,0.53861,,,,
0.14,0.0287,0.5649,,,,
0.15,0.03326,0.59061,,,,
0.16,0.03765,0.61645,,,,
0.17,0.04191,0.64439,,,,
0.18,0.04603,0.67032,,,,
0.19,0.05001,0.69333,,,,
0.2,0.05381,0.71255,,,,
0.21,0.05749,0.73929,,,,
0.22,0.06108,0.76786,,,,
0.23,0.06463,0.79373,,,,
0.24,0.06819,0.81884,,,,
0.25,0.07182,0.8459,,,,
0.26,0.07552,0.87257,,,,
0.27,0.07928,0.9003,,,,
0.28,0.08305,0.933,,,,
0.29,0.08679,0.96772,,,,
0.3,0.09046,1.0025,,,,
0.31,0.09404,1.03462,,,,
0.32,0.09756,1.06478,,,,
0.33,0.10103,1.09328,,,,
0.34,0.10451,1.12587,,,,
0.35,0.10805,1.16245,,,,
0.36,0.11166,1.19708,,,,
0.37,0.11533,1.23271,,,,
0.38,0.11903,1.27014,,,,
0.39,0.12273,1.3096,,,,
0.4,0.1264,1.34758,,,,
0.41,0.13001,1.3829,,,,
0.42,0.13356,1.41972,,,,
0.43,0.13705,1.46101,,,,
0.44,0.14051,1.504,,,,
0.45,0.14401,1.54655,,,,
0.46,0.14758,1.59516,,,,
0.47,0.15121,1.64216,,,,
0.48,0.15486,1.68663,,,,
0.49,0.15852,1.73159,,,,
0.5,0.16216,1.77837,,,,
0.51,0.16577,1.82407,,,,
0.52,0.16934,1.87063,,,,
0.53,0.17288,1.91772,,,,
0.54,0.17642,1.96743,,,,
0.55,0.17996,2.02616,,,,
0.56,0.18353,2.08756,,,,
0.57,0.18713,2.14219,,,,
0.58,0.19076,2.19536,,,,
0.59,0.19439,2.25154,,,,
0.6,0.19801,2.31173,,,,
0.61,0.2016,2.36952,,,,
0.62,0.20516,2.42804,,,,
0.63,0.20869,2.48621,,,,
0.64,0.21223,2.54571,,,,
0.65,0.21581,2.60828,,,,
0.66,0.21945,2.67408,,,,
0.67,0.22311,2.74356,,,,
0.68,0.22678,2.81641,,,,
0.69,0.23041,2.88522,,,,
0.7,0.23401,2.9538,,,,
0.71,0.23758,3.02657,,,,
0.72,0.24111,3.09429,,,,
0.73,0.24463,3.15399,,,,
0.74,0.24818,3.2162,,,,
0.75,0.2518,3.29647,,,,
0.76,0.25549,3.39551,,,,
0.77,0.25923,3.47447,,,,
0.78,0.26296,3.54809,,,,
0.79,0.26665,3.63941,,,,
0.8,0.27026,3.72145,,,,
0.81,0.27382,3.78704,,,,
0.82,0.27732,3.86815,,,,
0.83,0.28079,3.95309,,,,
0.84,0.2843,4.03052,,,,
0.85,0.28787,4.1245,,,,
0.86,0.29151,4.22436,,,,
0.87,0.2952,4.31249,,,,
0.88,0.2989,4.40436,,,,
0.89,0.30255,4.50313,,,,
0.9,0.30614,4.59072,,,,
0.91,0.30968,4.6829,,,,
0.92,0.31316,4.78696,,,,
0.93,0.31663,4.88186,,,,
0.94,0.32013,4.97674,,,,
0.95,0.3237,5.082,,,,
0.96,0.32734,5.18313,,,,
0.97,0.33102,5.28461,,,,
0.98,0.33471,5.39049,,,,
0.99,0.33837,5.49787,,,,
1,0.34198,5.60179,,,,
1.01,0.34553,5.71166,,,,
1.02,0.34904,5.81944,,,,
1.03,0.35252,5.92164,,,,
1.04,0.35601,6.02978,,,,
1.05,0.35956,6.14272,,,,
1.06,0.36318,6.25801,,,,
1.07,0.36685,6.38096,,,,
1.08,0.37053,6.51026,,,,
1.09,0.37419,6.63588,,,,
1.1,0.37782,6.7586,,,,
1.11,0.3814,6.87897,,,,
1.12,0.38494,6.98993,,,,
1.13,0.38845,7.10055,,,,
1.14,0.39195,7.2228,,,,
1.15,0.39549,7.35601,,,,
1.16,0.39908,7.4891,,,,
1.17,0.40271,7.6259,,,,
1.18,0.40636,7.76369,,,,
1.19,0.41,7.90125,,,,
1.2,0.41362,8.03767,,,,
1.21,0.41721,8.17087,,,,
1.22,0.42077,8.30255,,,,
1.23,0.42431,8.43368,,,,
1.24,0.42785,8.57194,,,,
1.25,0.43143,8.71707,,,,
1.26,0.43506,8.8653,,,,
1.27,0.43874,9.02246,,,,
1.28,0.44244,9.17679,,,,
1.29,0.44611,9.32672,,,,
1.3,0.44974,9.4756,,,,
1.31,0.45334,9.62232,,,,
1.32,0.45691,9.76706,,,,
1.33,0.46046,9.91506,,,,
1.34,0.46403,10.07038,,,,
1.35,0.46764,10.22545,,,,
1.36,0.47127,10.38343,,,,
1.37,0.47492,10.54598,,,,
1.38,0.47856,10.7073,,,,
1.39,0.48216,10.86675,,,,
1.4,0.48573,11.03011,,,,
1.41,0.48926,11.19467,,,,
1.42,0.49277,11.3583,,,,
1.43,0.49629,11.51903,,,,
1.44,0.49984,11.68219,,,,
1.45,0.50347,11.85084,,,,
1.46,0.50714,12.02333,,,,
1.47,0.51083,12.20275,,,,
1.48,0.51447,12.3822,,,,
1.49,0.51805,12.56045,,,,
1.5,0.52158,12.73898,,,,
1.51,0.52508,12.91623,,,,
1.52,0.52857,13.08764,,,,
1.53,0.53209,13.26273,,,,
1.54,0.53565,13.44211,,,,
1.55,0.53927,13.62627,,,,
1.56,0.54294,13.81458,,,,
1.57,0.54662,14.0101,,,,
1.58,0.55028,14.20724,,,,
1.59,0.55388,14.40134,,,,
1.6,0.55743,14.59305,,,,
1.61,0.56095,14.78051,,,,
1.62,0.56445,14.96762,,,,
1.63,0.56796,15.15997,,,,
1.64,0.57152,15.35035,,,,
1.65,0.57514,15.54609,,,,
1.66,0.57881,15.74923,,,,
1.67,0.58249,15.95346,,,,
1.68,0.58617,16.15981,,,,
1.69,0.58981,16.36379,,,,
1.7,0.5934,16.55927,,,,
1.71,0.59693,16.7511,,,,
1.72,0.60043,16.94361,,,,
1.73,0.60393,17.14451,,,,
1.74,0.60748,17.35079,,,,
1.75,0.6111,17.56315,,,,
1.76,0.61478,17.7799,,,,
1.77,0.61848,18.00023,,,,
1.78,0.62219,18.22347,,,,
1.79,0.62587,18.44628,,,,
1.8,0.6295,18.66544,,,,
1.81,0.63307,18.87986,,,,
1.82,0.63659,19.09647,,,,
1.83,0.64009,19.31535,,,,
1.84,0.64361,19.53442,,,,
1.85,0.64719,19.75929,,,,
1.86,0.65084,19.99322,,,,
1.87,0.65451,20.22869,,,,
1.88,0.65819,20.45885,,,,
1.89,0.66185,20.68974,,,,
1.9,0.66547,20.91852,,,,
1.91,0.66907,21.14174,,,,
1.92,0.67262,21.37223,,,,
1.93,0.67613,21.60703,,,,
1.94,0.67966,21.8429,,,,
1.95,0.68321,22.08629,,,,
1.96,0.68681,22.33095,,,,
1.97,0.69043,22.56928,,,,
1.98,0.69406,22.80991,,,,
1.99,0.69768,23.05205,,,,
2,0.70128,23.29115,,,,
2.01,0.70485,23.52723,,,,
2.02,0.7084,23.76819,,,,
2.03,0.71195,24.01375,,,,
2.04,0.71552,24.25883,,,,
2.05,0.71911,24.51034,,,,
2.06,0.72272,24.76581,,,,
2.07,0.72632,25.02471,,,,
2.08,0.72991,25.28448,,,,
2.09,0.73348,25.54329,,,,
2.1,0.73703,25.79775,,,,
2.11,0.74056,26.0487,,,,
2.12,0.74409,26.29606,,,,
2.13,0.74765,26.55035,,,,
2.14,0.75127,26.81252,,,,
2.15,0.75493,27.08806,,,,
2.16,0.75861,27.37495,,,,
2.17,0.76228,27.66088,,,,
2.18,0.76592,27.94174,,,,
2.19,0.7695,28.21624,,,,
2.2,0.77304,28.48266,,,,
2.21,0.77656,28.74008,,,,
2.22,0.78006,29.00016,,,,
2.23,0.78361,29.26726,,,,
2.24,0.78722,29.5385,,,,
2.25,0.79091,29.81971,,,,
2.26,0.79463,30.11016,,,,
2.27,0.79832,30.39744,,,,
2.28,0.80195,30.68292,,,,
2.29,0.80551,30.9694,,,,
2.3,0.80903,31.24999,,,,
2.31,0.81254,31.52969,,,,
2.32,0.81606,31.81608,,,,
2.33,0.81962,32.11153,,,,
2.34,0.82326,32.41036,,,,
2.35,0.82697,32.71454,,,,
2.36,0.83073,33.01992,,,,
2.37,0.83446,33.32874,,,,
2.38,0.83813,33.62833,,,,
2.39,0.84171,33.91924,,,,
2.4,0.84523,34.21391,,,,
2.41,0.84871,34.50776,,,,
2.42,0.85216,34.79539,,,,
2.43,0.85564,35.08957,,,,
2.44,0.85919,35.39188,,,,
2.45,0.86282,35.69939,,,,
2.46,0.86651,36.01617,,,,
2.47,0.87024,36.33688,,,,
2.48,0.87395,36.64928,,,,
2.49,0.87759,36.95928,,,,
2.5,0.88116,37.26668,,,,
2.51,0.88466,37.56873,,,,
2.52,0.88813,37.87072,,,,
2.53,0.89162,38.18204,,,,
2.54,0.89516,38.50587,,,,
2.55,0.89878,38.83741,,,,
2.56,0.90244,39.17259,,,,
2.57,0.90611,39.50624,,,,
2.58,0.90975,39.82844,,,,
2.59,0.91337,40.14668,,,,
2.6,0.91695,40.46423,,,,
2.61,0.92047,40.77457,,,,
2.62,0.92396,41.08454,,,,
2.63,0.92744,41.40683,,,,
2.64,0.93096,41.74244,,,,
2.65,0.93455,42.09061,,,,
2.66,0.93818,42.44704,,,,
2.67,0.94184,42.80216,,,,
2.68,0.9455,43.15018,,,,
