Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.32001"
"0.01000","0.00000","0.31787"
"0.02000","0.00006","0.32142"
"0.03000","0.00027","0.32347"
"0.04000","0.00074","0.32736"
"0.05000","0.00163","0.33018"
"0.06000","0.00299","0.33571"
"0.07000","0.00480","0.33604"
"0.08000","0.00648","0.34095"
"0.09000","0.00774","0.34826"
"0.10000","0.00882","0.35729"
"0.11000","0.01005","0.36808"
"0.12000","0.01193","0.38208"
"0.13000","0.01471","0.39724"
"0.14000","0.01830","0.40924"
"0.15000","0.02236","0.42698"
"0.16000","0.02652","0.44782"
"0.17000","0.03053","0.46473"
"0.18000","0.03429","0.48016"
"0.19000","0.03779","0.49895"
"0.20000","0.04109","0.51470"
"0.21000","0.04426","0.53239"
"0.22000","0.04737","0.55374"
"0.23000","0.05047","0.57382"
"0.24000","0.05356","0.59230"
"0.25000","0.05664","0.61239"
"0.26000","0.05967","0.62853"
"0.27000","0.06266","0.64367"
"0.28000","0.06561","0.66152"
"0.29000","0.06853","0.67898"
"0.30000","0.07143","0.69626"
"0.31000","0.07429","0.71715"
"0.32000","0.07713","0.73863"
"0.33000","0.07997","0.75764"
"0.34000","0.08285","0.77940"
"0.35000","0.08577","0.79899"
"0.36000","0.08875","0.81534"
"0.37000","0.09174","0.83583"
"0.38000","0.09473","0.85749"
"0.39000","0.09771","0.87686"
"0.40000","0.10065","0.89394"
"0.41000","0.10357","0.91956"
"0.42000","0.10647","0.94695"
"0.43000","0.10934","0.96744"
"0.44000","0.11219","0.98725"
"0.45000","0.11504","1.00922"
"0.46000","0.11791","1.02852"
"0.47000","0.12082","1.05299"
"0.48000","0.12378","1.08247"
"0.49000","0.12677","1.10837"
"0.50000","0.12975","1.13647"
"0.51000","0.13273","1.16436"
"0.52000","0.13567","1.19441"
"0.53000","0.13857","1.22358"
"0.54000","0.14145","1.24985"
"0.55000","0.14431","1.27575"
"0.56000","0.14714","1.30223"
"0.57000","0.14998","1.32837"
"0.58000","0.15283","1.35723"
"0.59000","0.15572","1.38834"
"0.60000","0.15866","1.42243"
"0.61000","0.16163","1.45280"
"0.62000","0.16462","1.48155"
"0.63000","0.16761","1.51090"
"0.64000","0.17057","1.54365"
"0.65000","0.17351","1.57633"
"0.66000","0.17641","1.61063"
"0.67000","0.17929","1.64544"
"0.68000","0.18214","1.67598"
"0.69000","0.18499","1.71088"
"0.70000","0.18785","1.74547"
"0.71000","0.19074","1.77050"
"0.72000","0.19369","1.80598"
"0.73000","0.19667","1.84528"
"0.74000","0.19967","1.87913"
"0.75000","0.20265","1.91057"
"0.76000","0.20561","1.94396"
"0.77000","0.20853","1.97887"
"0.78000","0.21140","2.01548"
"0.79000","0.21427","2.05749"
"0.80000","0.21712","2.09475"
"0.81000","0.21998","2.12871"
"0.82000","0.22288","2.16714"
"0.83000","0.22582","2.20777"
"0.84000","0.22881","2.24631"
"0.85000","0.23186","2.28479"
"0.86000","0.23490","2.32974"
"0.87000","0.23792","2.37150"
"0.88000","0.24090","2.41585"
"0.89000","0.24381","2.45565"
"0.90000","0.24669","2.49584"
"0.91000","0.24954","2.54170"
"0.92000","0.25237","2.58581"
"0.93000","0.25518","2.62697"
"0.94000","0.25802","2.67181"
"0.95000","0.26090","2.71607"
"0.96000","0.26384","2.75938"
"0.97000","0.26684","2.80900"
"0.98000","0.26988","2.85995"
"0.99000","0.27291","2.90775"
"1.00000","0.27591","2.95488"
"1.01000","0.27884","3.00497"
"1.02000","0.28172","3.05185"
"1.03000","0.28457","3.10112"
"1.04000","0.28740","3.15115"
"1.05000","0.29021","3.19438"
"1.06000","0.29304","3.23971"
"1.07000","0.29591","3.29424"
"1.08000","0.29882","3.34858"
"1.09000","0.30179","3.40505"
"1.10000","0.30480","3.46290"
"1.11000","0.30780","3.51755"
"1.12000","0.31080","3.57019"
"1.13000","0.31375","3.62544"
"1.14000","0.31666","3.67700"
"1.15000","0.31953","3.72646"
"1.16000","0.32237","3.78105"
"1.17000","0.32520","3.83540"
"1.18000","0.32802","3.88968"
"1.19000","0.33086","3.94708"
"1.20000","0.33374","4.00544"
"1.21000","0.33666","4.06301"
"1.22000","0.33963","4.12054"
"1.23000","0.34262","4.18300"
"1.24000","0.34561","4.24357"
"1.25000","0.34858","4.30257"
"1.26000","0.35152","4.36453"
"1.27000","0.35443","4.42603"
"1.28000","0.35733","4.48746"
"1.29000","0.36020","4.54882"
"1.30000","0.36305","4.60907"
"1.31000","0.36589","4.66907"
"1.32000","0.36875","4.73267"
"1.33000","0.37165","4.79877"
"1.34000","0.37460","4.86585"
"1.35000","0.37758","4.93618"
"1.36000","0.38055","5.00727"
"1.37000","0.38352","5.07534"
"1.38000","0.38646","5.14538"
"1.39000","0.38938","5.21317"
"1.40000","0.39228","5.28014"
"1.41000","0.39518","5.34630"
"1.42000","0.39805","5.41173"
"1.43000","0.40091","5.47729"
"1.44000","0.40378","5.54416"
"1.45000","0.40669","5.61669"
"1.46000","0.40966","5.69113"
"1.47000","0.41266","5.77005"
"1.48000","0.41568","5.84877"
"1.49000","0.41869","5.92799"
"1.50000","0.42166","6.00201"
"1.51000","0.42459","6.07147"
"1.52000","0.42749","6.14086"
"1.53000","0.43037","6.21171"
"1.54000","0.43323","6.27966"
"1.55000","0.43609","6.35107"
"1.56000","0.43897","6.43086"
"1.57000","0.44188","6.51413"
"1.58000","0.44482","6.59826"
"1.59000","0.44779","6.68448"
"1.60000","0.45076","6.76910"
"1.61000","0.45373","6.84887"
"1.62000","0.45668","6.92984"
"1.63000","0.45959","7.00942"
"1.64000","0.46247","7.08500"
"1.65000","0.46534","7.15987"
"1.66000","0.46820","7.24111"
"1.67000","0.47107","7.32686"
"1.68000","0.47396","7.41212"
"1.69000","0.47689","7.49651"
"1.70000","0.47986","7.58151"
"1.71000","0.48287","7.66722"
"1.72000","0.48587","7.75715"
"1.73000","0.48882","7.84594"
"1.74000","0.49174","7.93388"
"1.75000","0.49461","8.02381"
"1.76000","0.49746","8.10878"
"1.77000","0.50031","8.19385"
"1.78000","0.50316","8.27960"
"1.79000","0.50602","8.36846"
"1.80000","0.50890","8.46063"
"1.81000","0.51181","8.55545"
"1.82000","0.51475","8.64997"
"1.83000","0.51774","8.74148"
"1.84000","0.52072","8.83652"
"1.85000","0.52369","8.93240"
"1.86000","0.52662","9.02923"
"1.87000","0.52951","9.12620"
"1.88000","0.53236","9.22123"
"1.89000","0.53520","9.31762"
"1.90000","0.53803","9.41490"
"1.91000","0.54087","9.51125"
"1.92000","0.54374","9.60732"
"1.93000","0.54666","9.70512"
"1.94000","0.54963","9.80410"
"1.95000","0.55263","9.90538"
"1.96000","0.55565","10.01073"
"1.97000","0.55866","10.11678"
"1.98000","0.56165","10.21732"
"1.99000","0.56460","10.31719"
"2.00000","0.56750","10.41839"
"2.01000","0.57034","10.51387"
"2.02000","0.57315","10.60702"
"2.03000","0.57594","10.70443"
"2.04000","0.57875","10.80746"
"2.05000","0.58159","10.91154"
"2.06000","0.58450","11.01609"
"2.07000","0.58748","11.12335"
"2.08000","0.59051","11.23052"
"2.09000","0.59356","11.34230"
"2.10000","0.59659","11.45143"
"2.11000","0.59960","11.56052"
"2.12000","0.60256","11.66847"
"2.13000","0.60549","11.77470"
"2.14000","0.60840","11.87583"
"2.15000","0.61127","11.97793"
"2.16000","0.61413","12.08519"
"2.17000","0.61700","12.19379"
"2.18000","0.61989","12.30325"
"2.19000","0.62282","12.41599"
"2.20000","0.62578","12.52915"
"2.21000","0.62875","12.63977"
"2.22000","0.63172","12.75071"
"2.23000","0.63468","12.86269"
"2.24000","0.63761","12.97349"
"2.25000","0.64052","13.08049"
"2.26000","0.64342","13.18865"
"2.27000","0.64630","13.29465"
"2.28000","0.64915","13.40269"
"2.29000","0.65200","13.51625"
"2.30000","0.65486","13.63118"
"2.31000","0.65776","13.74827"
"2.32000","0.66071","13.86855"
"2.33000","0.66367","13.98734"
"2.34000","0.66663","14.10413"
"2.35000","0.66958","14.22190"
"2.36000","0.67253","14.33890"
"2.37000","0.67546","14.45628"
"2.38000","0.67838","14.57431"
"2.39000","0.68127","14.68650"
"2.40000","0.68415","14.79915"
"2.41000","0.68705","14.91390"
"2.42000","0.68996","15.02867"
"2.43000","0.69290","15.14861"
"2.44000","0.69585","15.26967"
"2.45000","0.69880","15.39363"
"2.46000","0.70173","15.51733"
"2.47000","0.70462","15.64214"
"2.48000","0.70749","15.76205"
"2.49000","0.71033","15.88022"
"2.50000","0.71318","15.99697"
"2.51000","0.71604","16.11590"
"2.52000","0.71891","16.23548"
"2.53000","0.72180","16.35225"
"2.54000","0.72473","16.47054"
"2.55000","0.72770","16.59211"
"2.56000","0.73070","16.72049"
"2.57000","0.73370","16.85068"
"2.58000","0.73668","16.98205"
"2.59000","0.73961","17.10743"
"2.60000","0.74251","17.23001"
"2.61000","0.74537","17.35173"
"2.62000","0.74822","17.47036"
"2.63000","0.75108","17.58704"
"2.64000","0.75393","17.70579"
"2.65000","0.75680","17.82653"
"2.66000","0.75971","17.94948"
"2.67000","0.76268","18.07650"
"2.68000","0.76570","18.20780"
"2.69000","0.76875","18.34232"
"2.70000","0.77178","18.48129"
"2.71000","0.77477","18.61718"
"2.72000","0.77769","18.74579"
"2.73000","0.78056","18.87055"
"2.74000","0.78340","18.98973"
"2.75000","0.78624","19.11120"
"2.76000","0.78909","19.23516"
"2.77000","0.79195","19.36293"
"2.78000","0.79485","19.49451"
"2.79000","0.79779","19.62946"
"2.80000","0.80079","19.76806"
"2.81000","0.80382","19.90477"
"2.82000","0.80685","20.04298"
"2.83000","0.80986","20.18007"
"2.84000","0.81283","20.31272"
