DataType=double
version=2
endheader
time,height,/Dennis/vastus|activation,/Dennis/device/controller|myo_control
0,1,0.05,0
0.2,0.9815309268721912,0.2999998645391485,0
0.4,0.941883184249364,0.299999999999891,0
0.6000000000000001,0.8479563051330875,0.2999999999999999,0
0.8,0.6444775647448332,0.2999999999999999,0
1,0.314161098182315,0.2999999999999999,0
1.2,0.4124373042751587,0.3,0
1.4,0.3592213421426779,0.3,0
1.6,0.3769100536291867,0.3,0
1.8,0.370565586669817,0.3,0
2,0.3714128584975002,0.3028879719461582,0
2.2,0.4918835002340765,0.9994737116322594,0.9994737116322594
2.4,0.8237979316449598,0.9999993304322138,0.9999993304322138
2.6,1.164591060615487,0.9999999991478693,0.9999999991478693
2.8,1.100590472527985,0.9999999999989144,0.9999999999989144
3,1.073493073531394,0.9999999999999986,0.9999999999999986
3.2,1.075891086987582,0.9999999999999998,0.9999999999999998
3.4,1.067467083148308,0.9999999999999998,0.9999999999999998
3.6,1.067879279727845,0.9999999999999998,0.9999999999999998
3.8,1.068718460704222,0.9999999999999998,0.9999999999999998
4,1.067139795720075,0.1975016462739116,0
4.2,1.066488824417135,0.1059934015781478,0
4.4,1.066151629820115,0.1004395682851122,0
4.600000000000001,1.065938869520832,0.1000326229370562,0
4.800000000000001,1.065745218221695,0.1000024229681806,0
5,1.065531125400866,0.1000001799852873,0
