DataType=double
version=2
endheader
time,height,activation,active_fiber_force,active_force_length_multiplier,fiber_active_power,fiber_force,fiber_length,fiber_velocity,force_velocity_multiplier,muscle_power,muscle_stiffness,normalized_fiber_length,normalized_fiber_velocity,passive_fiber_force,passive_force_multiplier,pennation_angle,potential_energy,power,speed,tendon_force,tendon_length,tendon_power,tendon_stiffness,tendon_strain,tendon_velocity
0,1,0.05,0,0,-2936865.919349674,21922.0906742479,0.244255,133.9683318981816,1.4,-0,-4.448093774134949e-12,0.4441,24.35787852694211,21922.0906742479,0,0,237.5383815841793,-0,0,21922.0906742479,0.2788519423821383,2936865.919349674,1023427.912573934,0.09197302762570714,-133.9683318981816
0.01,1.000317811106819,0.2348263537873782,121.0643762726798,0.05601754495252541,-3.12019475834087,125.1442854917531,0.2680303384623233,0.0249327785610034,1.022593324555926,-13.36818532987349,12369.1042421718,0.487327888113315,0.004533232465636982,4.079909219073284,0,0,0.0177219259670964,-13.36818532987349,0.106822179513378,125.1442854917532,0.255682775240185,-10.24799057153261,457510.4967574853,0.001243497913866243,0.08188940095237458
0.02,1.000104659930493,0.2787778821179711,162.133195254018,0.06130626328486623,-10.45150368611618,172.0723079343709,0.2689233322483593,0.06073902193549018,1.054062279047856,-15.33719167045776,15243.44576557904,0.4889515131788351,0.01104345853372549,9.939112680352938,0,0,0.0328589737048661,-15.33719167045776,0.08913224819521916,172.0723080704298,0.2557846663886407,-4.885687976077501,463125.8733835359,0.001642499566560041,0.02839322625972898
0.03,0.9990077531129788,0.2927547165021167,190.420378652205,0.06545813557953718,-26.67052329887997,211.0948198877948,0.2696169139103904,0.1263438075508267,1.104087220490006,-13.98414382348646,16853.84369094097,0.4902125707461643,0.02297160137287758,20.67444123558982,0,0,0.04894530301884598,-13.98414382348646,0.06624579337784614,211.0948199189811,0.2558686405474784,12.6863794793337,466095.2699394117,0.001971339006174855,-0.06009801417298055
0.04,0.9970376569008237,0.2974900882766539,192.6160453372361,0.06885729061994539,-10.03067007902533,200.7906413518557,0.2701806714407072,0.04995586453378608,1.044786426552587,-8.468475983284225,16322.86948784932,0.4912375844376495,0.009082884460688377,8.17459601461954,0,0,0.04438915473414604,-8.468475983284225,0.04217565084808463,200.7906413534058,0.2558465170372958,1.562194095818541,465408.8899475178,0.001884704227196776,-0.007780213685701455
0.05,0.9942012897442063,0.2991262456179501,203.8251493752477,0.07047508553704947,-18.59600430061246,217.7968074433311,0.270447844030709,0.0853823548605091,1.074298892631393,-4.890069666965967,16900.1385082959,0.4917233527831073,0.01552406452009256,13.97165806808331,0,0,0.05202742563787474,-4.890069666965967,0.02245243961272626,217.7968074433314,0.2558830130821467,13.70593463364653,466511.4342783089,0.002027621275763059,-0.06292991524778285
0.06,0.9909512930295447,0.2996953084239007,231.2025836885639,0.07468028341596322,-55.01126280496759,265.1522921101313,0.2711392468885796,0.2074704403540234,1.147794849966252,-43.19127838911457,18154.82731323564,0.4929804488883265,0.03772189824618606,33.94970842156746,0,0,0.07647059011177915,-43.19127838911457,0.1628923440389305,265.1522921101317,0.255984246205233,11.81998441585308,468928.77926929,0.002424046127489587,-0.04457809631509285
0.07000000000000001,0.9878018465179419,0.2998936901734072,266.393075935212,0.08687906015940516,-53.89433019536509,296.1701246015846,0.273124514427203,0.1819708529611657,1.136051398614216,-63.11559494460447,18226.39717046841,0.4965900262312782,0.03308560962930286,29.77704866637258,0,0,0.09500988574849865,-63.11559494460447,0.2131058797017731,296.1701246015848,0.2560503035709066,-9.221264749239349,470152.6923983863,0.002682724123330038,0.03113502674060734
0.08,0.9839781928490181,0.2999629003641636,311.1725462177699,0.09813742511807447,-100.8286314164081,357.3443435182858,0.2749366827018219,0.2821609835031529,1.17450957315083,-62.54301147183568,18985.73165679325,0.4998848776396761,0.05130199700057326,46.17179730051593,0,0,0.1374335433242914,-62.54301147183568,0.1750216915596291,357.3443435182865,0.2561801440719199,38.28561994457258,472055.0732229616,0.003191174320193335,-0.1071392919435239
0.09,0.9793526550332904,0.299987051803,331.309131116841,0.1077624468139155,-67.86816343202624,361.9888075057798,0.2764749529126452,0.1874869112657374,1.138730472199801,-48.7845141490611,18532.157141399,0.5026817325684458,0.03408852932104316,30.67967638893884,0,0,0.1409717688748526,-48.7845141490611,0.1347680180644318,361.9888075057801,0.2561899815901483,19.08364928296518,472179.4437576372,0.003229697647204821,-0.05271889320130557
