Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
73.577,1.37925,46.89822,,,,
73.677,1.37925,46.8876,,,,
73.777,1.37925,46.87273,,,,
73.877,1.37925,46.86955,,,,
73.977,1.37925,46.85965,,,,
74.077,1.37925,46.84571,,,,
74.177,1.37925,46.83557,,,,
74.277,1.37925,46.81854,,,,
74.377,1.37925,46.81062,,,,
74.477,1.37925,46.80313,,,,
74.577,1.37925,46.79458,,,,
74.677,1.37925,46.7846,,,,
74.777,1.37925,46.78667,,,,
74.877,1.37925,46.76168,,,,
74.977,1.37925,46.75095,,,,
75.077,1.37925,46.74597,,,,
75.177,1.37925,46.7343,,,,
75.277,1.37925,46.73115,,,,
75.377,1.37925,46.72019,,,,
75.477,1.37925,46.70962,,,,
75.577,1.37925,46.70056,,,,
75.677,1.37925,46.68823,,,,
75.777,1.37925,46.67416,,,,
75.877,1.37925,46.66964,,,,
75.977,1.37925,46.65889,,,,
76.077,1.37925,46.65292,,,,
76.177,1.37925,46.6403,,,,
76.277,1.37925,46.63406,,,,
76.377,1.37925,46.62234,,,,
76.477,1.37925,46.61061,,,,
76.577,1.37925,46.59974,,,,
76.677,1.37925,46.60048,,,,
76.777,1.37925,46.59095,,,,
76.877,1.37925,46.57774,,,,
76.977,1.37925,46.56562,,,,
77.077,1.37925,46.5615,,,,
77.177,1.37925,46.54781,,,,
77.277,1.37925,46.53659,,,,
77.377,1.37925,46.53485,,,,
77.477,1.37925,46.52345,,,,
77.577,1.37925,46.51158,,,,
77.677,1.37925,46.50388,,,,
77.777,1.37925,46.49925,,,,
77.876,1.37925,46.48985,,,,
77.877,1.37925,46.48957,,,,
77.903,1.37925,46.48037,,,,
78.003,1.3615,44.05887,,,,
78.085,1.32491,39.0168,,,,
78.185,1.28576,34.29018,,,,
78.285,1.24723,30.03278,,,,
78.385,1.20846,26.13881,,,,
78.485,1.16956,22.59854,,,,
78.585,1.13077,19.38216,,,,
78.685,1.09225,16.46737,,,,
78.785,1.05376,13.81588,,,,
78.885,1.01513,11.43248,,,,
78.985,0.97634,9.2982,,,,
79.085,0.93751,7.42999,,,,
79.185,0.89909,5.84502,,,,
79.285,0.86053,4.50203,,,,
79.385,0.82178,3.37727,,,,
79.485,0.7829,2.47709,,,,
79.585,0.74406,1.78465,,,,
79.685,0.7057,1.25356,,,,
79.785,0.66708,0.86346,,,,
79.885,0.62839,0.59631,,,,
79.985,0.5897,0.40832,,,,
80.085,0.55095,0.30224,,,,
80.185,0.51256,0.22971,,,,
80.285,0.47394,0.19605,,,,
80.385,0.43513,0.16153,,,,
80.485,0.39636,0.16072,,,,
80.585,0.35748,0.15029,,,,
80.685,0.31913,0.14068,,,,
80.785,0.2804,0.13882,,,,
80.885,0.24163,0.13707,,,,
80.985,0.20296,0.12981,,,,
81.085,0.16427,0.13258,,,,
81.185,0.12593,0.1245,,,,
81.285,0.08735,0.13014,,,,
81.385,0.04855,0.12908,,,,
81.443,0.0259,0.12334,,,,
81.444,0.02552,0.12229,,,,
81.445,0.02513,0.12131,,,,
81.545,0.02728,0.14177,,,,
81.645,0.07023,0.13201,,,,
81.745,0.1094,0.13551,,,,
81.845,0.14831,0.14555,,,,
81.945,0.18721,0.15375,,,,
82.045,0.22619,0.15861,,,,
82.145,0.26479,0.16326,,,,
82.245,0.30337,0.17798,,,,
82.345,0.34199,0.19223,,,,
82.445,0.38082,0.22536,,,,
82.545,0.41946,0.27187,,,,
82.645,0.45798,0.35102,,,,
82.745,0.4964,0.47991,,,,
82.755,0.5003,0.50081,,,,
82.756,0.50069,0.50307,,,,
82.757,0.50108,0.50516,,,,
82.767,0.50502,0.5194,,,,
82.777,0.50856,0.52386,,,,
82.787,0.51119,0.53739,,,,
82.797,0.5133,0.55695,,,,
82.807,0.51547,0.56178,,,,
82.817,0.51739,0.56916,,,,
82.827,0.51897,0.58267,,,,
82.837,0.5207,0.60285,,,,
82.847,0.52311,0.62405,,,,
82.857,0.52645,0.64971,,,,
82.867,0.53063,0.67931,,,,
82.877,0.53535,0.70667,,,,
82.887,0.54031,0.73462,,,,
82.897,0.54524,0.76882,,,,
82.907,0.54998,0.80342,,,,
82.917,0.55446,0.83947,,,,
82.927,0.55872,0.88111,,,,
82.937,0.56282,0.91917,,,,
82.947,0.56685,0.95739,,,,
82.957,0.57089,0.9953,,,,
82.967,0.57496,1.03539,,,,
82.977,0.57904,1.07814,,,,
82.987,0.58311,1.1241,,,,
82.997,0.5871,1.17068,,,,
83.007,0.591,1.21386,,,,
83.017,0.59482,1.26209,,,,
83.027,0.59857,1.31226,,,,
83.037,0.60233,1.36027,,,,
83.047,0.60613,1.40933,,,,
83.057,0.61003,1.46444,,,,
83.067,0.61398,1.52098,,,,
83.077,0.61797,1.57845,,,,
83.087,0.62195,1.63679,,,,
83.097,0.62589,1.6974,,,,
83.107,0.62978,1.7594,,,,
83.117,0.6336,1.82519,,,,
83.127,0.63738,1.89103,,,,
83.137,0.64116,1.95737,,,,
83.147,0.645,2.02954,,,,
83.157,0.64888,2.10333,,,,
83.167,0.65279,2.17913,,,,
83.177,0.6567,2.25414,,,,
83.187,0.66059,2.32945,,,,
83.197,0.66445,2.40611,,,,
83.207,0.66827,2.48123,,,,
83.217,0.67207,2.55871,,,,
83.227,0.67585,2.64751,,,,
83.237,0.67966,2.74048,,,,
83.247,0.68351,2.83456,,,,
83.257,0.68741,2.92848,,,,
83.267,0.69134,3.0245,,,,
83.277,0.69527,3.1213,,,,
83.287,0.69916,3.21944,,,,
83.297,0.70302,3.31772,,,,
83.307,0.70684,3.41907,,,,
83.317,0.71066,3.5245,,,,
83.327,0.71451,3.63049,,,,
83.337,0.71838,3.73954,,,,
83.347,0.72227,3.85584,,,,
83.357,0.72615,3.97534,,,,
83.367,0.73001,4.09488,,,,
83.377,0.73385,4.21402,,,,
83.387,0.73767,4.33438,,,,
83.397,0.7415,4.45426,,,,
83.407,0.74535,4.57752,,,,
83.417,0.74928,4.70903,,,,
83.427,0.75327,4.84771,,,,
83.437,0.75729,4.99184,,,,
83.447,0.76128,5.13642,,,,
83.457,0.76519,5.28212,,,,
83.467,0.76903,5.43071,,,,
83.477,0.77282,5.57146,,,,
83.487,0.77658,5.71451,,,,
83.497,0.78036,5.86635,,,,
83.507,0.78419,6.01527,,,,
83.517,0.78809,6.17118,,,,
83.527,0.79205,6.33724,,,,
83.537,0.79601,6.50008,,,,
83.547,0.79993,6.66209,,,,
83.557,0.80379,6.83182,,,,
83.567,0.80759,7.00049,,,,
83.577,0.81136,7.16626,,,,
83.587,0.81511,7.34039,,,,
83.597,0.8189,7.51914,,,,
83.607,0.82276,7.69563,,,,
83.617,0.82668,7.88092,,,,
83.627,0.83063,8.07353,,,,
83.637,0.83457,8.26565,,,,
83.647,0.83848,8.45559,,,,
83.657,0.84233,8.64866,,,,
83.667,0.84612,8.838,,,,
83.677,0.84988,9.02367,,,,
83.687,0.85364,9.21819,,,,
83.697,0.85745,9.41596,,,,
83.707,0.86134,9.61769,,,,
83.717,0.86528,9.82664,,,,
83.727,0.86923,10.03922,,,,
83.737,0.87315,10.25022,,,,
83.747,0.87702,10.4636,,,,
83.757,0.88085,10.6756,,,,
83.767,0.88464,10.88742,,,,
83.777,0.88843,11.09995,,,,
83.787,0.89225,11.31882,,,,
83.797,0.89611,11.54353,,,,
83.807,0.90002,11.773,,,,
83.817,0.90394,12.0064,,,,
83.827,0.90784,12.23647,,,,
83.837,0.91172,12.46544,,,,
83.847,0.91556,12.69676,,,,
83.857,0.91937,12.92515,,,,
83.867,0.92319,13.15735,,,,
83.877,0.92703,13.39759,,,,
83.887,0.93094,13.64313,,,,
83.897,0.93489,13.89627,,,,
83.907,0.93887,14.1519,,,,
83.917,0.94283,14.40789,,,,
83.927,0.94674,14.6596,,,,
83.937,0.95062,14.90806,,,,
83.947,0.95446,15.15534,,,,
83.957,0.95828,15.40102,,,,
83.967,0.96212,15.65359,,,,
83.977,0.96601,15.91848,,,,
83.987,0.96993,16.19127,,,,
83.997,0.97385,16.46361,,,,
84.007,0.97775,16.7357,,,,
84.017,0.9816,17.00464,,,,
84.027,0.98541,17.2687,,,,
84.037,0.9892,17.53211,,,,
84.047,0.99298,17.79372,,,,
84.057,0.99679,18.06231,,,,
84.067,1.00067,18.3369,,,,
84.077,1.00461,18.619,,,,
84.087,1.00857,18.90529,,,,
84.097,1.01251,19.19321,,,,
84.107,1.01638,19.47662,,,,
84.117,1.02019,19.7576,,,,
84.127,1.02398,20.04234,,,,
84.137,1.02776,20.32585,,,,
84.147,1.03156,20.61019,,,,
84.157,1.0354,20.89889,,,,
84.167,1.0393,21.19581,,,,
84.177,1.04323,21.49569,,,,
84.187,1.04717,21.79595,,,,
84.197,1.05107,22.09749,,,,
84.207,1.0549,22.39692,,,,
84.217,1.05868,22.69571,,,,
84.227,1.06244,22.99695,,,,
84.237,1.06621,23.30075,,,,
84.247,1.07004,23.6084,,,,
84.257,1.07394,23.9231,,,,
84.267,1.07788,24.24254,,,,
84.277,1.08183,24.56071,,,,
84.287,1.08575,24.8778,,,,
84.297,1.08964,25.19422,,,,
84.307,1.09347,25.50611,,,,
84.317,1.09726,25.81211,,,,
84.327,1.10102,26.11955,,,,
84.337,1.1048,26.43449,,,,
84.347,1.10866,26.75899,,,,
84.357,1.11258,27.09232,,,,
84.367,1.11654,27.43076,,,,
84.377,1.12052,27.76502,,,,
84.387,1.12448,28.10002,,,,
84.397,1.12841,28.42952,,,,
84.407,1.1323,28.75593,,,,
84.417,1.13615,29.08298,,,,
84.427,1.14,29.41417,,,,
84.437,1.14387,29.74917,,,,
84.447,1.14776,30.08958,,,,
84.457,1.15167,30.43192,,,,
84.467,1.15557,30.77214,,,,
84.477,1.15944,31.10868,,,,
84.487,1.16328,31.44472,,,,
84.497,1.16709,31.7773,,,,
84.507,1.17089,32.1103,,,,
84.517,1.17472,32.44818,,,,
84.527,1.17858,32.78914,,,,
84.537,1.18248,33.13341,,,,
84.547,1.1864,33.48624,,,,
84.557,1.19031,33.83772,,,,
84.567,1.19421,34.18656,,,,
84.577,1.19807,34.53683,,,,
84.587,1.20189,34.88151,,,,
84.597,1.20568,35.22095,,,,
84.607,1.20947,35.5616,,,,
84.617,1.2133,35.90882,,,,
84.627,1.21717,36.26342,,,,
84.637,1.22107,36.62455,,,,
84.647,1.22497,36.98771,,,,
84.657,1.22884,37.34845,,,,
84.667,1.23268,37.70604,,,,
84.677,1.2365,38.06177,,,,
84.687,1.24029,38.41096,,,,
84.697,1.24408,38.76249,,,,
84.707,1.24792,39.12166,,,,
84.717,1.25182,39.48816,,,,
84.727,1.25576,39.85932,,,,
84.737,1.2597,40.23591,,,,
84.747,1.2636,40.60666,,,,
84.757,1.26745,40.9674,,,,
84.767,1.27126,41.32483,,,,
84.777,1.27504,41.67941,,,,
84.787,1.2788,42.03449,,,,
84.797,1.28261,42.39075,,,,
84.807,1.28648,42.75684,,,,
84.817,1.29044,43.13256,,,,
84.827,1.29443,43.51781,,,,
84.837,1.29841,43.90335,,,,
84.847,1.30232,44.27702,,,,
84.857,1.30616,44.64473,,,,
84.867,1.30996,45.007,,,,
84.877,1.31375,45.36945,,,,
84.887,1.31759,45.74212,,,,
84.897,1.3215,46.12702,,,,
84.907,1.32548,46.51475,,,,
84.917,1.32948,46.90432,,,,
84.927,1.33346,47.29295,,,,
84.937,1.33738,47.67505,,,,
84.947,1.34122,48.04954,,,,
84.957,1.345,48.42033,,,,
84.967,1.34874,48.78836,,,,
84.977,1.35249,49.16002,,,,
84.987,1.35631,49.54093,,,,
84.997,1.3602,49.92933,,,,
85.007,1.36414,50.32778,,,,
85.017,1.3681,50.72932,,,,
85.027,1.37204,51.12656,,,,
85.037,1.37593,51.51593,,,,
85.047,1.37976,51.89914,,,,
85.057,1.38353,52.27496,,,,
85.067,1.38727,52.64659,,,,
85.077,1.39104,53.0239,,,,
85.087,1.39488,53.4151,,,,
85.097,1.39879,53.81094,,,,
85.107,1.40274,54.21407,,,,
85.117,1.40667,54.6163,,,,
85.127,1.41058,55.00903,,,,
85.137,1.41446,55.39593,,,,
85.147,1.4183,55.77916,,,,
85.157,1.42212,56.15462,,,,
85.167,1.42592,56.52894,,,,
85.177,1.42973,56.90941,,,,
85.187,1.43358,57.29475,,,,
85.197,1.43746,57.68443,,,,
85.207,1.44137,58.07369,,,,
85.217,1.44526,58.45854,,,,
85.227,1.44912,58.83441,,,,
85.237,1.45293,59.20433,,,,
85.247,1.45673,59.5714,,,,
85.257,1.46054,59.94394,,,,
85.267,1.4644,60.32705,,,,
85.277,1.4683,60.71761,,,,
85.287,1.47222,61.10909,,,,
85.297,1.47614,61.49913,,,,
85.307,1.48003,61.88188,,,,
85.317,1.48389,62.25461,,,,
85.327,1.48772,62.62378,,,,
85.337,1.49154,62.99056,,,,
85.347,1.49538,63.35624,,,,
85.357,1.49929,63.73306,,,,
85.367,1.50325,64.12144,,,,
85.377,1.50725,64.51553,,,,
85.387,1.51124,64.9047,,,,
85.397,1.51516,65.28419,,,,
85.407,1.51903,65.65325,,,,
85.417,1.52284,66.01132,,,,
85.427,1.5266,66.36147,,,,
85.437,1.53037,66.71139,,,,
85.447,1.5342,67.0677,,,,
85.457,1.53811,67.43301,,,,
85.467,1.54207,67.80238,,,,
85.477,1.54603,68.17037,,,,
85.487,1.54994,68.53895,,,,
85.497,1.55379,68.89969,,,,
85.507,1.55759,69.25267,,,,
85.517,1.56136,69.5963,,,,
85.527,1.56513,69.93275,,,,
85.537,1.56893,70.26905,,,,
85.547,1.5728,70.61333,,,,
85.557,1.57673,70.96642,,,,
85.567,1.5807,71.31944,,,,
85.577,1.58466,71.67408,,,,
85.587,1.58856,72.02208,,,,
85.597,1.59239,72.35944,,,,
85.607,1.59616,72.69008,,,,
85.617,1.5999,73.01643,,,,
85.627,1.60364,73.3437,,,,
85.637,1.60746,73.67197,,,,
85.647,1.61135,74.00708,,,,
85.657,1.61531,74.34573,,,,
85.667,1.61929,74.67863,,,,
85.677,1.62324,75.00799,,,,
85.687,1.62712,75.3335,,,,
85.697,1.63094,75.65109,,,,
85.707,1.63468,75.96622,,,,
85.717,1.6384,76.27966,,,,
85.727,1.64217,76.59539,,,,
85.737,1.64602,76.91801,,,,
85.747,1.64993,77.24681,,,,
85.757,1.65389,77.57164,,,,
85.767,1.65784,77.89046,,,,
85.777,1.66177,78.20295,,,,
85.787,1.66565,78.50941,,,,
85.797,1.66948,78.80861,,,,
85.807,1.67327,79.10401,,,,
85.817,1.67707,79.40241,,,,
85.827,1.68093,79.70836,,,,
85.837,1.68486,80.02351,,,,
85.847,1.68883,80.34601,,,,
85.857,1.6928,80.66734,,,,
85.867,1.69675,80.97627,,,,
85.877,1.70066,81.27299,,,,
85.887,1.70451,81.55841,,,,
85.897,1.70834,81.83772,,,,
85.907,1.71215,82.12367,,,,
85.917,1.716,82.41643,,,,
85.927,1.71989,82.71291,,,,
85.937,1.7238,83.00805,,,,
85.947,1.72771,83.29974,,,,
85.957,1.73158,83.5838,,,,
85.967,1.73542,83.85934,,,,
85.977,1.73923,84.13084,,,,
85.987,1.74303,84.40083,,,,
85.997,1.74686,84.67587,,,,
86.007,1.75074,84.96174,,,,
86.017,1.75467,85.25799,,,,
86.027,1.75859,85.55476,,,,
86.037,1.76249,85.84296,,,,
86.047,1.76632,86.12132,,,,
86.057,1.77012,86.39092,,,,
86.067,1.7739,86.65213,,,,
86.077,1.77767,86.90884,,,,
86.087,1.78147,87.16999,,,,
86.097,1.78534,87.44003,,,,
86.107,1.78927,87.71723,,,,
86.117,1.79324,88.00307,,,,
86.127,1.7972,88.28609,,,,
86.137,1.80109,88.55847,,,,
86.147,1.80491,88.82123,,,,
86.157,1.80867,89.07139,,,,
86.167,1.81241,89.31309,,,,
86.177,1.81618,89.56053,,,,
86.187,1.82002,89.81641,,,,
86.197,1.82393,90.07886,,,,
86.207,1.82788,90.34538,,,,
86.217,1.83186,90.61252,,,,
86.227,1.8358,90.87787,,,,
86.237,1.83969,91.13511,,,,
86.247,1.84351,91.3854,,,,
86.257,1.84727,91.62755,,,,
86.267,1.85101,91.86335,,,,
86.277,1.85479,92.10264,,,,
86.287,1.85865,92.35313,,,,
86.297,1.86259,92.61147,,,,
86.307,1.86659,92.87881,,,,
86.317,1.87059,93.14082,,,,
86.327,1.87457,93.39294,,,,
86.337,1.8785,93.64101,,,,
86.347,1.88236,93.8825,,,,
86.357,1.88616,94.11819,,,,
86.367,1.88996,94.35573,,,,
86.377,1.8938,94.60026,,,,
86.387,1.89768,94.84498,,,,
86.397,1.90159,95.08659,,,,
86.407,1.90552,95.32761,,,,
86.417,1.90942,95.56092,,,,
86.427,1.9133,95.78965,,,,
86.437,1.91714,96.01561,,,,
86.447,1.92094,96.23836,,,,
86.457,1.92472,96.46143,,,,
86.467,1.92853,96.6924,,,,
86.477,1.93238,96.92541,,,,
86.487,1.93626,97.15677,,,,
86.497,1.94015,97.39101,,,,
86.507,1.94405,97.62518,,,,
86.517,1.94793,97.854,,,,
86.527,1.95179,98.07337,,,,
86.537,1.95562,98.28709,,,,
86.547,1.95945,98.49875,,,,
86.557,1.9633,98.72021,,,,
86.567,1.96717,98.9465,,,,
86.577,1.97105,99.17199,,,,
86.587,1.97492,99.39619,,,,
86.597,1.97878,99.61283,,,,
86.607,1.98261,99.81855,,,,
86.617,1.98644,100.01655,,,,
86.627,1.99025,100.21087,,,,
86.637,1.99408,100.40406,,,,
86.647,1.99795,100.60042,,,,
86.657,2.00187,100.81267,,,,
86.667,2.0058,101.02785,,,,
86.677,2.00971,101.23629,,,,
86.687,2.01359,101.44542,,,,
86.697,2.01743,101.64956,,,,
86.707,2.02124,101.84374,,,,
86.717,2.02502,102.02855,,,,
86.727,2.0288,102.20715,,,,
86.737,2.03263,102.38957,,,,
86.747,2.03654,102.5794,,,,
86.757,2.04052,102.77859,,,,
86.767,2.04452,102.98286,,,,
86.773,2.0469,103.10018,,,,
86.774,2.0473,103.11957,,,,
86.775,2.04769,103.13883,,,,
86.875,2.04479,99.48965,,,,
86.936,2.01865,94.46618,,,,
87.009,1.98901,89.46549,,,,
87.092,1.95682,84.41805,,,,
87.18,1.92259,79.38335,,,,
87.273,1.88645,74.35823,,,,
87.372,1.84815,69.31626,,,,
87.472,1.80965,64.45193,,,,
87.572,1.77096,59.77988,,,,
87.672,1.73214,55.35973,,,,
87.772,1.69347,51.1389,,,,
87.872,1.65493,47.08988,,,,
87.972,1.61641,43.22358,,,,
88.072,1.57784,39.50302,,,,
88.172,1.53899,35.91866,,,,
88.272,1.50019,32.48851,,,,
88.372,1.46172,29.25926,,,,
88.472,1.42313,26.14599,,,,
88.572,1.38432,23.16998,,,,
88.672,1.34561,20.38071,,,,
88.772,1.30678,17.74224,,,,
88.872,1.26838,15.32576,,,,
88.972,1.22981,13.0743,,,,
89.072,1.19105,10.99454,,,,
89.172,1.15227,9.11424,,,,
89.272,1.11346,7.43517,,,,
89.372,1.07525,5.98688,,,,
89.472,1.03651,4.71106,,,,
89.572,0.99772,3.62651,,,,
89.672,0.95902,2.72634,,,,
89.772,0.92016,2.01057,,,,
89.872,0.88186,1.46775,,,,
89.972,0.84325,1.04447,,,,
90.072,0.80444,0.72992,,,,
90.172,0.76571,0.52052,,,,
90.272,0.72707,0.3823,,,,
90.372,0.68856,0.29605,,,,
90.472,0.64994,0.2347,,,,
90.572,0.61099,0.2028,,,,
90.672,0.57245,0.18513,,,,
90.772,0.53353,0.17176,,,,
90.859,0.50029,0.16305,,,,
90.86,0.49989,0.1629,,,,
90.861,0.4995,0.16269,,,,
90.961,0.50127,0.18965,,,,
91.061,0.54432,0.20954,,,,
91.161,0.584,0.24947,,,,
91.261,0.62267,0.32305,,,,
91.361,0.66136,0.45169,,,,
91.39,0.67246,0.50053,,,,
91.391,0.67284,0.50308,,,,
91.392,0.67322,0.50566,,,,
91.393,0.6736,0.50824,,,,
91.394,0.67398,0.51091,,,,
91.395,0.67436,0.51413,,,,
91.396,0.67474,0.51876,,,,
91.397,0.67513,0.52569,,,,
91.398,0.67553,0.53541,,,,
91.399,0.67596,0.54787,,,,
91.4,0.67641,0.56269,,,,
91.401,0.67691,0.57948,,,,
91.402,0.67745,0.59797,,,,
91.403,0.67806,0.6181,,,,
91.404,0.67875,0.6401,,,,
91.405,0.67954,0.66429,,,,
91.406,0.68043,0.6908,,,,
91.407,0.68145,0.71946,,,,
91.408,0.68262,0.74997,,,,
91.409,0.68394,0.78233,,,,
91.41,0.68545,0.81705,,,,
91.411,0.68714,0.8548,,,,
91.412,0.68905,0.89603,,,,
91.413,0.69119,0.94094,,,,
91.414,0.69358,0.9898,,,,
91.415,0.69623,1.04294,,,,
91.416,0.69916,1.10072,,,,
91.417,0.7024,1.1638,,,,
91.418,0.70594,1.23322,,,,
91.419,0.70983,1.31018,,,,
91.42,0.71406,1.39578,,,,
91.421,0.71865,1.49095,,,,
91.422,0.72363,1.59679,,,,
91.423,0.729,1.71462,,,,
91.424,0.73478,1.846,,,,
91.425,0.74098,1.99278,,,,
91.426,0.74762,2.15707,,,,
91.427,0.75471,2.3412,,,,
91.428,0.76226,2.54746,,,,
91.429,0.77028,2.77804,,,,
91.43,0.77879,3.03524,,,,
91.431,0.7878,3.32167,,,,
91.432,0.79731,3.64014,,,,
91.433,0.80734,3.99358,,,,
91.434,0.8179,4.38494,,,,
91.435,0.82898,4.8172,,,,
91.436,0.84062,5.29326,,,,
91.437,0.8528,5.81584,,,,
91.438,0.86554,6.38757,,,,
91.439,0.87884,7.01122,,,,
91.44,0.89272,7.68975,,,,
91.441,0.90717,8.42601,,,,
91.442,0.92221,9.22266,,,,
91.443,0.93783,10.08216,,,,
91.444,0.95405,11.00682,,,,
91.445,0.97087,11.99876,,,,
91.446,0.98828,13.06003,,,,
91.447,1.0063,14.19249,,,,
91.448,1.02492,15.39765,,,,
91.449,1.04415,16.67679,,,,
91.45,1.06399,18.03129,,,,
91.451,1.08442,19.46249,,,,
91.452,1.10547,20.9716,,,,
91.453,1.12711,22.55956,,,,
91.454,1.14934,24.22701,,,,
91.455,1.17217,25.97441,,,,
91.456,1.19559,27.80199,,,,
91.457,1.21958,29.70996,,,,
91.458,1.24416,31.69864,,,,
91.459,1.2693,33.76838,,,,
91.46,1.29501,35.91908,,,,
91.461,1.32127,38.15026,,,,
91.462,1.34809,40.46125,,,,
91.463,1.37545,42.85068,,,,
91.464,1.40335,45.31648,,,,
91.465,1.43179,47.85621,,,,
91.466,1.46076,50.46693,,,,
91.467,1.49026,53.14536,,,,
91.468,1.52028,55.8875,,,,
91.469,1.55081,58.688,,,,
91.47,1.58187,61.5401,,,,
91.471,1.61343,64.4359,,,,
91.472,1.6455,67.36622,,,,
91.473,1.67806,70.32102,,,,
91.474,1.7111,73.29006,,,,
91.475,1.74461,76.26323,,,,
91.476,1.77856,79.23083,,,,
91.477,1.81293,82.18423,,,,
91.478,1.84771,85.11568,,,,
91.479,1.88286,88.01846,,,,
91.48,1.91837,90.88662,,,,
91.481,1.9542,93.7149,,,,
91.482,1.99033,96.4985,,,,
91.483,2.02674,99.2331,,,,
91.484,2.0634,101.91496,,,,
91.485,2.10028,104.54064,,,,
91.486,2.13737,107.10704,,,,
91.487,2.17464,109.61165,,,,
91.488,2.21207,112.05214,,,,
91.489,2.24964,114.42608,,,,
91.49,2.28734,116.73081,,,,
91.491,2.32515,118.96385,,,,
91.492,2.36305,121.12323,,,,
91.493,2.40104,123.20853,,,,
91.494,2.43909,125.2217,,,,
91.495,2.47721,127.1667,,,,
91.496,2.51538,129.04865,,,,
91.497,2.5536,130.87292,,,,
91.498,2.59185,132.64438,,,,
91.499,2.63014,134.36728,,,,
91.5,2.66846,136.04503,,,,
91.501,2.70681,137.6805,,,,
91.502,2.74518,139.27617,,,,
91.503,2.78357,140.83432,,,,
91.504,2.82199,142.35732,,,,
91.505,2.86043,143.8474,,,,
91.506,2.89889,145.30646,,,,
91.507,2.93737,146.73605,,,,
91.508,2.97587,148.13728,,,,
91.509,3.0144,149.51106,,,,
91.51,3.05295,150.85861,,,,
91.511,3.09152,152.1813,,,,
91.512,3.13012,153.48064,,,,
91.513,3.16874,154.75803,,,,
91.514,3.20739,156.01472,,,,
91.515,3.24607,157.252,,,,
91.516,3.28477,158.47098,,,,
91.517,3.32349,159.67267,,,,
91.518,3.36225,160.85841,,,,
91.519,3.40103,162.03,,,,
91.52,3.43983,163.18874,,,,
91.521,3.47867,164.33548,,,,
91.522,3.51753,165.47096,,,,
91.523,3.55641,166.59569,,,,
91.524,3.59532,167.71027,,,,
91.525,3.63426,168.81567,,,,
91.526,3.67322,169.91333,,,,
91.527,3.7122,171.00453,,,,
91.528,3.75121,172.09001,,,,
91.529,3.79023,173.16954,,,,
91.53,3.82927,174.24243,,,,
91.531,3.86834,175.30801,,,,
91.532,3.90741,176.3658,,,,
91.533,3.94651,177.41566,,,,
91.534,3.98561,178.45761,,,,
91.535,4.02473,179.49142,,,,
91.536,4.06385,180.51672,,,,
91.537,4.10299,181.53316,,,,
91.538,4.14213,182.54057,,,,
91.539,4.18127,183.53896,,,,
91.54,4.22042,184.52834,,,,
91.541,4.25957,185.50856,,,,
91.542,4.29872,186.47914,,,,
91.543,4.33787,187.43939,,,,
91.544,4.37702,188.3887,,,,
91.545,4.41616,189.32648,,,,
91.546,4.4553,190.25226,,,,
91.547,4.49444,191.16551,,,,
91.548,4.53357,192.06543,,,,
91.549,4.57269,192.95134,,,,
91.55,4.61181,193.82271,,,,
91.551,4.65091,194.67882,,,,
91.552,4.69001,195.51833,,,,
91.553,4.7291,196.33966,,,,
91.554,4.76818,197.14124,,,,
91.555,4.80725,197.92136,,,,
91.556,4.84631,198.67841,,,,
91.557,4.88535,199.38658,,,,
91.558,4.92439,199.91115,,,,
91.559,4.96341,200.01366,,,,
91.56,5.00243,199.51164,,,,
91.561,5.04143,198.33646,,,,
91.562,5.08042,196.49187,,,,
91.563,5.11939,194.03429,,,,
91.564,5.15836,191.03326,,,,
91.565,5.19732,187.55586,,,,
91.566,5.23627,183.6649,,,,
91.567,5.27522,179.41061,,,,
91.568,5.31415,174.84129,,,,
91.569,5.35308,170.00253,,,,
91.57,5.392,164.93277,,,,
91.571,5.43092,159.67036,,,,
91.572,5.46982,154.25232,,,,
91.573,5.50872,148.7113,,,,
91.574,5.54762,143.07906,,,,
91.575,5.58651,137.38551,,,,
91.576,5.62539,131.65692,,,,
91.577,5.66427,125.91911,,,,
91.578,5.70315,120.19518,,,,
91.579,5.74202,114.50566,,,,
91.58,5.78088,108.87029,,,,
91.581,5.81974,103.30423,,,,
91.582,5.85859,97.82186,,,,
91.583,5.89744,92.43728,,,,
91.584,5.93629,87.1618,,,,
91.585,5.97513,82.00648,,,,
91.586,6.01397,76.98071,,,,
91.587,6.0528,72.09226,,,,
91.588,6.09163,67.34817,,,,
91.589,6.13046,62.7527,,,,
91.59,6.16928,58.3101,,,,
91.591,6.20811,54.02456,,,,
91.592,6.24692,49.8987,,,,
91.593,6.28574,45.93566,,,,
91.594,6.32454,42.13739,,,,
91.595,6.36335,38.50454,,,,
91.596,6.40215,35.0374,,,,
91.597,6.44095,31.73439,,,,
91.598,6.47974,28.59349,,,,
91.599,6.51853,25.61281,,,,
91.6,6.55732,22.78994,,,,
91.601,6.5961,20.12251,,,,
91.602,6.63488,17.60773,,,,
91.603,6.67366,15.24221,,,,
91.604,6.71243,13.02229,,,,
91.605,6.7512,10.94371,,,,
91.606,6.78997,9.00162,,,,
91.607,6.82873,7.191,,,,
91.608,6.86749,5.50679,,,,
91.609,6.90624,3.94429,,,,
91.61,6.945,2.49913,,,,
