Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
17.052,1.29572,30.66967,,,,
17.152,1.29572,30.66089,,,,
17.252,1.29572,30.63727,,,,
17.352,1.29572,30.61356,,,,
17.452,1.29572,30.60292,,,,
17.552,1.29567,30.58699,,,,
17.652,1.29568,30.56142,,,,
17.752,1.29569,30.55818,,,,
17.852,1.2957,30.53152,,,,
17.952,1.29572,30.52295,,,,
18.052,1.29572,30.50677,,,,
18.152,1.29572,30.47965,,,,
18.252,1.29572,30.46353,,,,
18.352,1.29572,30.45426,,,,
18.452,1.29572,30.43407,,,,
18.552,1.29572,30.41843,,,,
18.652,1.29572,30.4069,,,,
18.752,1.29572,30.38821,,,,
18.852,1.29572,30.37854,,,,
18.952,1.29572,30.35691,,,,
19.052,1.29572,30.33714,,,,
19.152,1.29572,30.31625,,,,
19.252,1.29572,30.30993,,,,
19.352,1.29572,30.29065,,,,
19.452,1.29572,30.2777,,,,
19.552,1.29572,30.26545,,,,
19.652,1.29572,30.24886,,,,
19.752,1.29572,30.23314,,,,
19.852,1.29572,30.21802,,,,
19.952,1.29572,30.20204,,,,
20.052,1.29572,30.18442,,,,
20.152,1.29572,30.16916,,,,
20.252,1.29572,30.16002,,,,
20.352,1.29572,30.14292,,,,
20.452,1.29572,30.12708,,,,
20.552,1.29572,30.11836,,,,
20.652,1.29572,30.09468,,,,
20.752,1.29572,30.09033,,,,
20.852,1.29572,30.06902,,,,
20.952,1.29572,30.05558,,,,
21.052,1.29572,30.04229,,,,
21.152,1.29572,30.02876,,,,
21.252,1.29572,30.01578,,,,
21.352,1.29572,30.00314,,,,
21.452,1.29572,29.98891,,,,
21.552,1.29572,29.97333,,,,
21.652,1.29572,29.96433,,,,
21.752,1.29572,29.95494,,,,
21.852,1.29572,29.93756,,,,
21.952,1.29572,29.92357,,,,
22.052,1.29572,29.91128,,,,
22.152,1.29572,29.90098,,,,
22.252,1.29572,29.88668,,,,
22.352,1.29572,29.87392,,,,
22.452,1.29572,29.86195,,,,
22.552,1.29572,29.84482,,,,
22.652,1.29572,29.83692,,,,
22.752,1.29572,29.82125,,,,
22.852,1.29572,29.80929,,,,
22.952,1.29572,29.79925,,,,
23.052,1.29572,29.77666,,,,
23.152,1.29572,29.76708,,,,
23.252,1.29572,29.75348,,,,
23.352,1.29572,29.7421,,,,
23.452,1.29572,29.72432,,,,
23.551,1.29572,29.72635,,,,
23.552,1.29572,29.72605,,,,
23.581,1.29572,29.71637,,,,
23.681,1.27958,27.84462,,,,
23.781,1.23789,22.93976,,,,
23.881,1.20096,19.32569,,,,
23.981,1.16397,16.21288,,,,
24.081,1.12704,13.55665,,,,
24.181,1.09035,11.29503,,,,
24.281,1.0536,9.32656,,,,
24.381,1.01681,7.62267,,,,
24.481,0.97983,6.16003,,,,
24.581,0.94304,4.93466,,,,
24.681,0.90609,3.91019,,,,
24.781,0.86944,3.06153,,,,
24.881,0.83297,2.36946,,,,
24.981,0.79591,1.81584,,,,
25.081,0.7592,1.39383,,,,
25.181,0.72226,1.04144,,,,
25.281,0.68573,0.79064,,,,
25.381,0.64878,0.59283,,,,
25.481,0.61185,0.4425,,,,
25.581,0.57516,0.33691,,,,
25.681,0.53828,0.26008,,,,
25.781,0.50192,0.19524,,,,
25.881,0.46511,0.1408,,,,
25.981,0.42825,0.10979,,,,
26.081,0.39134,0.09448,,,,
26.181,0.35443,0.07157,,,,
26.281,0.31782,0.06421,,,,
26.381,0.2811,0.05473,,,,
26.481,0.24426,0.04356,,,,
26.581,0.20757,0.03944,,,,
26.681,0.17065,0.03038,,,,
26.781,0.13414,0.01881,,,,
26.881,0.09735,0.02595,,,,
26.981,0.06038,0.01464,,,,
27.081,0.02346,0.02021,,,,
27.122,0.00841,0.01643,,,,
27.123,0.00804,0.01623,,,,
27.124,0.00767,0.01595,,,,
27.224,0.00959,0.03181,,,,
27.324,0.05082,0.02728,,,,
27.424,0.0882,0.03627,,,,
27.524,0.12517,0.04601,,,,
27.624,0.16196,0.05924,,,,
27.724,0.199,0.08207,,,,
27.824,0.23569,0.09121,,,,
27.924,0.27241,0.10797,,,,
28.024,0.30908,0.13484,,,,
28.124,0.34591,0.16045,,,,
28.224,0.38308,0.21742,,,,
28.324,0.41985,0.2669,,,,
28.424,0.45652,0.348,,,,
28.524,0.49324,0.45838,,,,
28.624,0.5298,0.6089,,,,
28.724,0.56681,0.79311,,,,
28.824,0.60369,1.04,,,,
28.924,0.64036,1.35,,,,
29.024,0.67709,1.75295,,,,
29.124,0.71384,2.26399,,,,
29.224,0.75085,2.90918,,,,
29.324,0.7876,3.68931,,,,
29.424,0.82433,4.64356,,,,
29.524,0.86082,5.74799,,,,
29.624,0.89758,7.05703,,,,
29.724,0.93447,8.55486,,,,
29.824,0.97134,10.25534,,,,
29.924,1.00809,12.1702,,,,
30.024,1.04479,14.27188,,,,
30.124,1.08154,16.59911,,,,
30.224,1.11825,19.12031,,,,
30.324,1.15514,21.85747,,,,
30.424,1.19181,24.76718,,,,
30.524,1.22846,27.83028,,,,
30.624,1.26526,31.07266,,,,
30.707,1.29591,33.88762,,,,
30.708,1.29627,33.92153,,,,
30.709,1.29663,33.95548,,,,
30.809,1.30897,34.49939,,,,
30.909,1.30685,33.81436,,,,
31.009,1.3054,33.36922,,,,
31.109,1.30468,33.06802,,,,
31.209,1.30442,32.84759,,,,
31.309,1.30434,32.68272,,,,
31.409,1.30425,32.52996,,,,
31.509,1.30425,32.40366,,,,
31.609,1.30425,32.29787,,,,
31.709,1.30425,32.18712,,,,
31.809,1.30425,32.09581,,,,
31.909,1.30425,31.99511,,,,
32.009,1.30421,31.91876,,,,
32.109,1.30416,31.8503,,,,
32.209,1.30421,31.77534,,,,
32.309,1.30422,31.70909,,,,
32.409,1.30425,31.64815,,,,
32.509,1.30425,31.58651,,,,
32.609,1.30425,31.53093,,,,
32.709,1.30425,31.48508,,,,
32.809,1.30425,31.43127,,,,
32.909,1.30425,31.37678,,,,
33.009,1.30425,31.33817,,,,
33.109,1.30425,31.29533,,,,
33.209,1.30425,31.24847,,,,
33.309,1.30425,31.20134,,,,
33.409,1.30425,31.15852,,,,
33.509,1.30425,31.11827,,,,
33.609,1.30425,31.07274,,,,
33.709,1.30425,31.04723,,,,
33.809,1.30425,31.00551,,,,
33.909,1.30425,30.97105,,,,
34.009,1.30425,30.93885,,,,
34.109,1.30425,30.90278,,,,
34.209,1.30425,30.87607,,,,
34.309,1.30425,30.84511,,,,
34.409,1.30425,30.81542,,,,
34.509,1.30425,30.79156,,,,
34.609,1.30425,30.75241,,,,
34.709,1.30425,30.7244,,,,
34.809,1.30425,30.70413,,,,
34.909,1.30425,30.67079,,,,
35.009,1.30425,30.64573,,,,
35.109,1.30425,30.61141,,,,
35.209,1.30425,30.59197,,,,
35.309,1.30425,30.56404,,,,
35.409,1.30425,30.54415,,,,
35.509,1.30425,30.51637,,,,
35.609,1.30425,30.48627,,,,
35.709,1.30425,30.46643,,,,
35.809,1.30425,30.44923,,,,
35.909,1.30425,30.42474,,,,
36.009,1.30425,30.39045,,,,
36.109,1.30425,30.38187,,,,
36.209,1.30425,30.36273,,,,
36.309,1.30425,30.33426,,,,
36.409,1.30425,30.31207,,,,
36.509,1.30425,30.2912,,,,
36.609,1.30425,30.27512,,,,
36.709,1.30425,30.25763,,,,
36.809,1.30425,30.23955,,,,
36.909,1.30425,30.2146,,,,
37.009,1.30425,30.189,,,,
37.109,1.30425,30.17482,,,,
37.209,1.30425,30.15516,,,,
37.309,1.30425,30.14392,,,,
37.409,1.30425,30.1239,,,,
37.509,1.30425,30.10557,,,,
37.609,1.30425,30.08864,,,,
37.709,1.30425,30.06849,,,,
37.809,1.30425,30.04103,,,,
37.909,1.30425,30.03814,,,,
38.009,1.30425,30.01397,,,,
38.109,1.30425,29.99636,,,,
38.209,1.30425,29.97691,,,,
38.309,1.30425,29.96536,,,,
38.409,1.30425,29.95125,,,,
38.509,1.30425,29.93165,,,,
38.609,1.30425,29.91251,,,,
38.709,1.30425,29.90202,,,,
38.809,1.30425,29.89097,,,,
38.909,1.30425,29.87135,,,,
39.009,1.30425,29.85933,,,,
39.109,1.30425,29.84106,,,,
39.209,1.30425,29.82502,,,,
39.309,1.30425,29.81653,,,,
39.409,1.30425,29.8019,,,,
39.509,1.30425,29.77621,,,,
39.609,1.30425,29.76342,,,,
39.709,1.30425,29.74454,,,,
39.809,1.30425,29.73964,,,,
39.909,1.30425,29.72377,,,,
40.009,1.30425,29.71095,,,,
40.109,1.30425,29.70077,,,,
40.209,1.30425,29.68609,,,,
40.309,1.30425,29.66717,,,,
40.409,1.30425,29.64428,,,,
40.509,1.30425,29.63457,,,,
40.609,1.30425,29.62683,,,,
40.709,1.30425,29.60968,,,,
40.809,1.30425,29.60274,,,,
40.909,1.30425,29.58411,,,,
41.009,1.30425,29.57523,,,,
41.109,1.30425,29.56265,,,,
41.209,1.30425,29.54382,,,,
41.309,1.30425,29.53548,,,,
41.409,1.30425,29.52275,,,,
41.509,1.30425,29.50979,,,,
41.609,1.30425,29.49928,,,,
41.709,1.30425,29.48536,,,,
41.809,1.30425,29.47107,,,,
41.909,1.30425,29.46405,,,,
42.009,1.30425,29.44964,,,,
42.109,1.30425,29.43567,,,,
42.209,1.30425,29.42192,,,,
42.309,1.30425,29.40629,,,,
42.409,1.30425,29.39996,,,,
42.509,1.30425,29.38967,,,,
42.609,1.30425,29.37348,,,,
42.709,1.30425,29.35966,,,,
42.809,1.30425,29.35575,,,,
42.909,1.30425,29.33738,,,,
43.009,1.30425,29.32399,,,,
43.109,1.30425,29.32224,,,,
43.209,1.30425,29.30774,,,,
43.309,1.30425,29.29179,,,,
43.409,1.30425,29.27588,,,,
43.509,1.30425,29.2687,,,,
43.609,1.30425,29.25664,,,,
43.709,1.30425,29.25117,,,,
43.809,1.30425,29.23929,,,,
43.909,1.30425,29.23238,,,,
44.009,1.30425,29.21354,,,,
44.109,1.30425,29.20564,,,,
44.209,1.30425,29.20165,,,,
44.309,1.30425,29.18106,,,,
44.409,1.30425,29.17026,,,,
44.509,1.30425,29.1722,,,,
44.609,1.30425,29.15781,,,,
44.709,1.30425,29.15413,,,,
44.809,1.30425,29.13992,,,,
44.909,1.30425,29.12998,,,,
45.009,1.30425,29.11488,,,,
45.109,1.30425,29.09831,,,,
45.209,1.30421,29.09757,,,,
45.309,1.30422,29.08518,,,,
45.409,1.30423,29.07388,,,,
45.509,1.30424,29.06828,,,,
45.609,1.30425,29.06275,,,,
45.709,1.30425,29.05062,,,,
45.809,1.30425,29.04013,,,,
45.909,1.30425,29.02658,,,,
46.009,1.30425,29.02457,,,,
46.109,1.30425,29.0094,,,,
46.209,1.30425,28.9951,,,,
46.309,1.30425,28.99182,,,,
46.409,1.30425,28.98456,,,,
46.509,1.30425,28.97507,,,,
46.609,1.30425,28.95999,,,,
46.709,1.30425,28.95765,,,,
46.809,1.30425,28.94871,,,,
46.909,1.30425,28.93599,,,,
47.009,1.30425,28.9234,,,,
47.109,1.30425,28.91967,,,,
47.209,1.30425,28.9075,,,,
