Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27603"
"0.10000","0.00823","0.32727"
"0.20000","0.04374","0.53858"
"0.30000","0.07331","0.72543"
"0.40000","0.10276","0.93370"
"0.50000","0.13242","1.15294"
"0.60000","0.16182","1.40059"
"0.70000","0.19085","1.64952"
"0.80000","0.21984","1.91422"
"0.90000","0.24919","2.19339"
"1.00000","0.27860","2.49407"
"1.10000","0.30805","2.81295"
"1.20000","0.33737","3.14977"
"1.30000","0.36656","3.50181"
"1.40000","0.39557","3.86734"
"1.50000","0.42473","4.26410"
"1.60000","0.45433","4.70590"
"1.70000","0.48365","5.14409"
"1.80000","0.51297","5.61858"
"1.90000","0.54208","6.09839"
"2.00000","0.57143","6.61247"
"2.10000","0.60055","7.14962"
"2.20000","0.62991","7.73016"
"2.30000","0.65948","8.32269"
"2.40000","0.68863","8.94254"
"2.50000","0.71760","9.60996"
"2.60000","0.74711","10.32094"
"2.70000","0.77640","11.08693"
"2.80000","0.80564","11.92534"
"2.90000","0.83487","12.79874"
"3.00000","0.86423","13.72576"
"3.10000","0.89340","14.71995"
"3.20000","0.92272","15.76975"
"3.30000","0.95222","16.91426"
"3.40000","0.98140","18.10987"
"3.50000","1.01041","19.35323"
"3.54900","1.02497","20.00182"
"3.55000","1.02526","20.01440"
"3.55100","1.02555","20.02698"
"3.65100","1.03515","19.81582"
"3.75100","1.03381","19.19779"
"3.85100","1.03268","18.78653"
"3.95100","1.03201","18.48861"
"4.05100","1.03171","18.25316"
"4.15100","1.03162","18.06976"
"4.25100","1.03156","17.91697"
"4.35100","1.03153","17.77056"
"4.45100","1.03153","17.64541"
"4.55100","1.03153","17.53679"
"4.65100","1.03153","17.43035"
"4.75100","1.03153","17.34166"
"4.85100","1.03153","17.24541"
"4.95100","1.03153","17.16123"
"5.05100","1.03153","17.09261"
"5.15100","1.03153","17.01661"
"5.25100","1.03153","16.94750"
"5.35100","1.03153","16.88878"
"5.45100","1.03153","16.82896"
"5.55100","1.03147","16.76156"
"5.65100","1.03144","16.72037"
"5.75100","1.03144","16.65385"
"5.85100","1.03144","16.60893"
"5.95100","1.03149","16.56184"
"6.05100","1.03150","16.51622"
"6.15100","1.03150","16.46461"
"6.25100","1.03150","16.43088"
"6.35100","1.03151","16.38282"
"6.45100","1.03150","16.33918"
"6.55100","1.03151","16.30097"
"6.65100","1.03150","16.25364"
"6.75100","1.03151","16.22750"
"6.85100","1.03151","16.19176"
"6.95100","1.03151","16.15257"
"7.05100","1.03151","16.12143"
"7.15100","1.03151","16.08982"
"7.25100","1.03151","16.05224"
"7.35100","1.03151","16.02265"
"7.45100","1.03151","15.99760"
"7.55100","1.03151","15.96569"
"7.65100","1.03151","15.92996"
"7.75100","1.03151","15.90311"
"7.85100","1.03151","15.87486"
"7.95100","1.03152","15.85054"
"8.05100","1.03153","15.81998"
"8.15100","1.03153","15.79573"
"8.25100","1.03153","15.77048"
"8.35100","1.03153","15.74175"
"8.45100","1.03153","15.72460"
"8.55100","1.03153","15.69911"
"8.65100","1.03153","15.67244"
"8.75100","1.03153","15.65690"
"8.85100","1.03153","15.62971"
"8.95100","1.03153","15.60865"
"9.05100","1.03153","15.58279"
"9.15100","1.03153","15.56228"
"9.25100","1.03153","15.54512"
"9.35100","1.03153","15.53160"
"9.45100","1.03153","15.50300"
"9.55100","1.03153","15.48474"
"9.65100","1.03153","15.46883"
"9.75100","1.03153","15.45244"
"9.85100","1.03153","15.41657"
"9.95100","1.03153","15.40997"
"10.05100","1.03153","15.39049"
"10.15100","1.03153","15.36421"
"10.25100","1.03153","15.35754"
"10.35100","1.03153","15.33951"
"10.45100","1.03153","15.31737"
"10.55100","1.03153","15.30161"
"10.65100","1.03153","15.28427"
"10.75100","1.03153","15.26064"
"10.85100","1.03153","15.24700"
"10.95100","1.03153","15.23616"
"11.05100","1.03153","15.20962"
"11.15100","1.03153","15.19747"
"11.25100","1.03153","15.18427"
"11.35100","1.03153","15.16492"
"11.45100","1.03153","15.15583"
"11.55100","1.03153","15.12824"
"11.65100","1.03153","15.12823"
"11.75100","1.03153","15.10687"
"11.85100","1.03153","15.09580"
"11.95100","1.03153","15.07840"
"12.05100","1.03153","15.06739"
"12.15100","1.03153","15.05655"
"12.25100","1.03153","15.03306"
"12.35100","1.03153","15.02744"
"12.45100","1.03153","15.01564"
"12.55100","1.03153","15.00324"
"12.65100","1.03153","14.98243"
"12.75100","1.03153","14.97732"
"12.85100","1.03153","14.96440"
"12.95100","1.03153","14.95916"
"13.05100","1.03153","14.93357"
"13.15100","1.03153","14.92721"
"13.25100","1.03153","14.91314"
"13.35100","1.03153","14.90370"
"13.45100","1.03153","14.87884"
"13.55100","1.03153","14.87645"
"13.65100","1.03153","14.86945"
"13.75100","1.03153","14.84909"
"13.85100","1.03153","14.84151"
"13.95100","1.03153","14.83126"
"14.05100","1.03153","14.82427"
"14.15100","1.03153","14.80875"
"14.25100","1.03153","14.79091"
"14.35100","1.03153","14.78298"
"14.45100","1.03153","14.76274"
"14.55100","1.03153","14.75954"
"14.65100","1.03153","14.74446"
"14.75100","1.03153","14.73419"
"14.85100","1.03153","14.72280"
"14.95100","1.03153","14.71834"
"15.05100","1.03153","14.70702"
"15.15100","1.03153","14.69485"
"15.25100","1.03153","14.68610"
"15.35100","1.03153","14.67538"
"15.45100","1.03153","14.66602"
"15.55100","1.03153","14.66179"
"15.65100","1.03153","14.65011"
"15.75100","1.03153","14.63918"
"15.85100","1.03153","14.62671"
"15.95100","1.03153","14.61483"
"16.05100","1.03153","14.60303"
"16.15100","1.03153","14.60017"
"16.25100","1.03153","14.58660"
"16.35100","1.03153","14.57335"
"16.45100","1.03153","14.57089"
"16.55100","1.03153","14.56119"
"16.65100","1.03153","14.55168"
"16.75100","1.03153","14.54025"
"16.85100","1.03153","14.53035"
"16.95100","1.03153","14.52416"
"17.05100","1.03153","14.51462"
"17.15100","1.03153","14.50842"
"17.25100","1.03153","14.50186"
"17.35100","1.03153","14.49402"
"17.45100","1.03153","14.48452"
"17.55100","1.03153","14.46993"
"17.65100","1.03153","14.46930"
"17.75100","1.03153","14.44769"
"17.85100","1.03153","14.44376"
"17.95100","1.03153","14.44026"
"18.05100","1.03153","14.43603"
"18.15100","1.03153","14.43145"
"18.25100","1.03153","14.41269"
"18.35100","1.03153","14.40816"
"18.45100","1.03153","14.39045"
"18.55100","1.03153","14.39289"
"18.65100","1.03153","14.38469"
"18.75100","1.03153","14.36968"
"18.85100","1.03153","14.36463"
"18.95100","1.03153","14.35834"
"19.05100","1.03153","14.34656"
"19.15100","1.03153","14.33561"
"19.25100","1.03153","14.32999"
"19.35100","1.03153","14.31701"
"19.45100","1.03153","14.30891"
"19.55100","1.03153","14.30825"
"19.65100","1.03153","14.29222"
"19.75100","1.03153","14.28798"
"19.85100","1.03153","14.28253"
"19.95100","1.03153","14.27355"
"20.05100","1.03153","14.27101"
"20.15100","1.03153","14.25830"
"20.25100","1.03153","14.24838"
"20.35100","1.03153","14.24180"
"20.45100","1.03153","14.23733"
"20.55100","1.03153","14.22991"
"20.65100","1.03153","14.22621"
"20.75100","1.03153","14.21383"
"20.85100","1.03153","14.20806"
"20.95100","1.03153","14.20507"
"21.05100","1.03153","14.19393"
"21.15100","1.03153","14.18127"
"21.25100","1.03153","14.17993"
"21.35100","1.03153","14.16751"
"21.45100","1.03153","14.16833"
"21.55100","1.03153","14.15444"
"21.65100","1.03153","14.14845"
"21.75100","1.03153","14.14285"
"21.85100","1.03153","14.13532"
"21.95100","1.03153","14.12734"
"22.05100","1.03153","14.11958"
"22.15100","1.03153","14.11082"
"22.25100","1.03153","14.10883"
"22.35100","1.03153","14.10557"
"22.45100","1.03153","14.10297"
"22.55100","1.03153","14.09385"
"22.65100","1.03153","14.09217"
"22.75100","1.03153","14.07921"
"22.85100","1.03153","14.07114"
"22.95100","1.03153","14.06357"
"23.05100","1.03153","14.06425"
"23.15100","1.03153","14.05671"
"23.25100","1.03153","14.05147"
"23.35100","1.03153","14.05069"
"23.45100","1.03153","14.04257"
"23.55000","1.03153","14.03716"
"23.55100","1.03153","14.03740"
"23.58800","1.03153","14.03004"
"23.68800","1.01962","13.16865"
"23.78800","0.98590","10.68409"
"23.88800","0.95634","8.96706"
"23.98800","0.92670","7.55789"
"24.08800","0.89737","6.39763"
"24.18800","0.86819","5.41318"
"24.28800","0.83899","4.58781"
"24.38800","0.80958","3.88049"
"24.48800","0.78023","3.26035"
"24.58800","0.75113","2.73215"
"24.68800","0.72167","2.28638"
"24.78800","0.69244","1.90622"
"24.88800","0.66312","1.57260"
"24.98800","0.63376","1.28043"
"25.08800","0.60447","1.03878"
"25.18800","0.57547","0.84143"
"25.28800","0.54614","0.66802"
"25.38800","0.51666","0.52173"
"25.48800","0.48733","0.40309"
"25.58800","0.45827","0.30686"
"25.68800","0.42889","0.21837"
"25.78800","0.39970","0.15025"
"25.88800","0.37052","0.10008"
"25.98800","0.34109","0.06204"
"26.08800","0.31157","0.01879"
"26.18800","0.28242","-0.01306"
"26.28800","0.25333","-0.01861"
"26.38800","0.22401","-0.04326"
"26.48800","0.19489","-0.05508"
"26.58800","0.16549","-0.06685"
"26.68800","0.13596","-0.07931"
"26.78800","0.10658","-0.08530"
"26.88800","0.07766","-0.09033"
"26.98800","0.04839","-0.08633"
"27.08800","0.01914","-0.09465"
"27.13100","0.00650","-0.09466"
"27.13200","0.00621","-0.09439"
"27.13300","0.00591","-0.09419"
"27.23300","0.00637","-0.07438"
"27.33300","0.03844","-0.08322"
"27.43300","0.06862","-0.06211"
"27.53300","0.09820","-0.05095"
"27.63300","0.12795","-0.03176"
