Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.18750"
"0.01000","0.00000","0.19208"
"0.02000","0.00007","0.19516"
"0.03000","0.00033","0.19641"
"0.04000","0.00093","0.19621"
"0.05000","0.00203","0.20172"
"0.06000","0.00374","0.21273"
"0.07000","0.00578","0.20844"
"0.08000","0.00748","0.21581"
"0.09000","0.00893","0.22087"
"0.10000","0.01049","0.22881"
"0.11000","0.01267","0.24483"
"0.12000","0.01575","0.26209"
"0.13000","0.01962","0.27840"
"0.14000","0.02397","0.29716"
"0.15000","0.02848","0.31919"
"0.16000","0.03293","0.33788"
"0.17000","0.03717","0.36188"
"0.18000","0.04119","0.38322"
"0.19000","0.04498","0.40462"
"0.20000","0.04861","0.42652"
"0.21000","0.05211","0.45102"
"0.22000","0.05554","0.47153"
"0.23000","0.05896","0.48968"
"0.24000","0.06241","0.51033"
"0.25000","0.06588","0.53231"
"0.26000","0.06935","0.55317"
"0.27000","0.07278","0.57497"
"0.28000","0.07616","0.60109"
"0.29000","0.07948","0.62272"
"0.30000","0.08277","0.64241"
"0.31000","0.08605","0.66585"
"0.32000","0.08932","0.69070"
"0.33000","0.09262","0.71627"
"0.34000","0.09595","0.74536"
"0.35000","0.09934","0.77595"
"0.36000","0.10278","0.80701"
"0.37000","0.10622","0.83611"
"0.38000","0.10964","0.86632"
"0.39000","0.11301","0.89720"
"0.40000","0.11634","0.92729"
"0.41000","0.11962","0.95697"
"0.42000","0.12288","0.98820"
"0.43000","0.12614","1.02179"
"0.44000","0.12943","1.05676"
"0.45000","0.13279","1.09253"
"0.46000","0.13620","1.12837"
"0.47000","0.13966","1.16752"
"0.48000","0.14312","1.20458"
"0.49000","0.14655","1.24031"
"0.50000","0.14992","1.27730"
"0.51000","0.15323","1.31860"
"0.52000","0.15649","1.36286"
"0.53000","0.15973","1.40613"
"0.54000","0.16297","1.44853"
"0.55000","0.16626","1.49081"
"0.56000","0.16961","1.53741"
"0.57000","0.17302","1.58315"
"0.58000","0.17648","1.63398"
"0.59000","0.17994","1.68365"
"0.60000","0.18339","1.73176"
"0.61000","0.18681","1.77913"
"0.62000","0.19019","1.82965"
"0.63000","0.19353","1.88187"
"0.64000","0.19683","1.93597"
"0.65000","0.20011","1.98819"
"0.66000","0.20341","2.03983"
"0.67000","0.20675","2.09715"
"0.68000","0.21012","2.15418"
"0.69000","0.21352","2.20570"
"0.70000","0.21691","2.26191"
"0.71000","0.22029","2.32203"
"0.72000","0.22364","2.38312"
"0.73000","0.22699","2.44116"
"0.74000","0.23030","2.50170"
"0.75000","0.23358","2.55939"
"0.76000","0.23685","2.61721"
"0.77000","0.24013","2.68271"
"0.78000","0.24347","2.74739"
"0.79000","0.24684","2.81160"
"0.80000","0.25023","2.87794"
"0.81000","0.25363","2.94533"
"0.82000","0.25701","3.01030"
"0.83000","0.26038","3.07574"
"0.84000","0.26372","3.14369"
"0.85000","0.26705","3.20860"
"0.86000","0.27037","3.27641"
"0.87000","0.27371","3.34917"
"0.88000","0.27706","3.41979"
"0.89000","0.28043","3.49026"
"0.90000","0.28379","3.56850"
"0.91000","0.28715","3.64519"
"0.92000","0.29048","3.72122"
"0.93000","0.29380","3.80069"
"0.94000","0.29711","3.87505"
"0.95000","0.30041","3.94501"
"0.96000","0.30371","4.02514"
"0.97000","0.30702","4.10753"
"0.98000","0.31038","4.18792"
"0.99000","0.31378","4.27502"
"1.00000","0.31721","4.36420"
"1.01000","0.32061","4.44556"
"1.02000","0.32399","4.52537"
"1.03000","0.32732","4.60935"
"1.04000","0.33062","4.69306"
"1.05000","0.33390","4.77994"
"1.06000","0.33716","4.87152"
"1.07000","0.34042","4.96210"
"1.08000","0.34372","5.05337"
"1.09000","0.34709","5.15081"
"1.10000","0.35053","5.24813"
"1.11000","0.35400","5.34683"
"1.12000","0.35744","5.45470"
"1.13000","0.36083","5.56055"
"1.14000","0.36415","5.65752"
"1.15000","0.36743","5.75609"
"1.16000","0.37070","5.86039"
"1.17000","0.37397","5.96411"
"1.18000","0.37727","6.07330"
"1.19000","0.38062","6.18468"
"1.20000","0.38405","6.29567"
"1.21000","0.38753","6.40688"
"1.22000","0.39103","6.52310"
"1.23000","0.39450","6.64000"
"1.24000","0.39791","6.75793"
"1.25000","0.40125","6.87605"
"1.26000","0.40453","6.98919"
"1.27000","0.40776","7.10297"
"1.28000","0.41097","7.22043"
"1.29000","0.41422","7.33846"
"1.30000","0.41753","7.46159"
"1.31000","0.42090","7.59212"
"1.32000","0.42431","7.72316"
"1.33000","0.42775","7.85006"
"1.34000","0.43120","7.97838"
"1.35000","0.43462","8.10696"
"1.36000","0.43799","8.23395"
"1.37000","0.44130","8.36584"
"1.38000","0.44456","8.50018"
"1.39000","0.44778","8.63164"
"1.40000","0.45101","8.76744"
"1.41000","0.45430","8.91080"
"1.42000","0.45767","9.05823"
"1.43000","0.46108","9.20816"
"1.44000","0.46452","9.36246"
"1.45000","0.46796","9.51302"
"1.46000","0.47136","9.65823"
"1.47000","0.47472","9.80344"
"1.48000","0.47804","9.94944"
"1.49000","0.48130","10.09276"
"1.50000","0.48454","10.23721"
"1.51000","0.48778","10.38662"
"1.52000","0.49106","10.54329"
"1.53000","0.49440","10.70540"
"1.54000","0.49778","10.87886"
"1.55000","0.50118","11.05257"
"1.56000","0.50459","11.22310"
"1.57000","0.50798","11.39131"
"1.58000","0.51134","11.55426"
"1.59000","0.51466","11.71140"
"1.60000","0.51796","11.87197"
"1.61000","0.52125","12.03703"
"1.62000","0.52456","12.20670"
"1.63000","0.52791","12.38380"
"1.64000","0.53129","12.56564"
"1.65000","0.53469","12.75025"
"1.66000","0.53809","12.93805"
"1.67000","0.54147","13.12187"
"1.68000","0.54482","13.29872"
"1.69000","0.54816","13.47263"
"1.70000","0.55148","13.64474"
"1.71000","0.55480","13.81238"
"1.72000","0.55814","13.98604"
"1.73000","0.56155","14.17157"
"1.74000","0.56500","14.36723"
"1.75000","0.56846","14.56428"
"1.76000","0.57189","14.75996"
"1.77000","0.57528","14.95448"
"1.78000","0.57861","15.14514"
"1.79000","0.58189","15.33742"
"1.80000","0.58515","15.53090"
"1.81000","0.58839","15.72113"
"1.82000","0.59165","15.91291"
"1.83000","0.59494","16.10763"
"1.84000","0.59831","16.30817"
"1.85000","0.60175","16.51418"
"1.86000","0.60522","16.72490"
"1.87000","0.60867","16.94092"
"1.88000","0.61207","17.15198"
"1.89000","0.61539","17.35906"
"1.90000","0.61867","17.56779"
"1.91000","0.62192","17.77483"
"1.92000","0.62516","17.97621"
"1.93000","0.62843","18.18124"
"1.94000","0.63176","18.38913"
"1.95000","0.63516","18.60509"
"1.96000","0.63861","18.82606"
"1.97000","0.64209","19.04990"
"1.98000","0.64555","19.27253"
"1.99000","0.64894","19.49470"
"2.00000","0.65225","19.71062"
"2.01000","0.65548","19.92124"
"2.02000","0.65867","20.13183"
"2.03000","0.66186","20.34722"
"2.04000","0.66508","20.56436"
"2.05000","0.66837","20.78839"
"2.06000","0.67176","21.02309"
"2.07000","0.67521","21.26252"
"2.08000","0.67869","21.50194"
"2.09000","0.68216","21.73962"
"2.10000","0.68559","21.97406"
"2.11000","0.68896","22.20782"
"2.12000","0.69227","22.43886"
"2.13000","0.69553","22.66371"
"2.14000","0.69876","22.89250"
"2.15000","0.70201","23.12810"
"2.16000","0.70531","23.36797"
"2.17000","0.70867","23.60882"
"2.18000","0.71208","23.85492"
"2.19000","0.71550","24.10116"
"2.20000","0.71890","24.34536"
"2.21000","0.72228","24.58648"
"2.22000","0.72563","24.82562"
"2.23000","0.72893","25.05990"
"2.24000","0.73218","25.29296"
"2.25000","0.73541","25.53465"
"2.26000","0.73866","25.78303"
"2.27000","0.74197","26.03929"
"2.28000","0.74537","26.30553"
"2.29000","0.74882","26.57853"
"2.30000","0.75231","26.84912"
"2.31000","0.75579","27.11679"
"2.32000","0.75924","27.38088"
"2.33000","0.76267","27.63952"
"2.34000","0.76605","27.89192"
"2.35000","0.76940","28.14149"
"2.36000","0.77274","28.39615"
"2.37000","0.77609","28.65344"
"2.38000","0.77945","28.91311"
"2.39000","0.78281","29.17786"
"2.40000","0.78616","29.44534"
"2.41000","0.78949","29.71327"
"2.42000","0.79281","29.97565"
"2.43000","0.79610","30.23401"
"2.44000","0.79938","30.48853"
"2.45000","0.80267","30.74050"
"2.46000","0.80596","30.99445"
"2.47000","0.80928","31.25201"
"2.48000","0.81266","31.51975"
"2.49000","0.81608","31.79408"
"2.50000","0.81948","32.07260"
"2.51000","0.82284","32.35044"
"2.52000","0.82615","32.62475"
"2.53000","0.82943","32.89180"
"2.54000","0.83270","33.15681"
"2.55000","0.83598","33.42221"
"2.56000","0.83928","33.69157"
"2.57000","0.84261","33.96577"
"2.58000","0.84597","34.24115"
"2.59000","0.84939","34.52095"
"2.60000","0.85284","34.80679"
"2.61000","0.85628","35.09338"
"2.62000","0.85968","35.37607"
"2.63000","0.86301","35.65789"
"2.64000","0.86630","35.93526"
"2.65000","0.86955","36.21197"
"2.66000","0.87280","36.48851"
"2.67000","0.87606","36.76456"
"2.68000","0.87938","37.04332"
"2.69000","0.88276","37.33347"
"2.70000","0.88622","37.63195"
"2.71000","0.88971","37.92774"
"2.72000","0.89318","38.22278"
"2.73000","0.89660","38.51408"
"2.74000","0.89995","38.79750"
"2.75000","0.90323","39.07959"
"2.76000","0.90646","39.36403"
"2.77000","0.90967","39.64782"
"2.78000","0.91290","39.93035"
"2.79000","0.91616","40.21520"
"2.80000","0.91949","40.50472"
"2.81000","0.92290","40.79948"
"2.82000","0.92635","41.10301"
"2.83000","0.92981","41.40523"
"2.84000","0.93327","41.70507"
