Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.19831"
"0.10000","0.04005","0.40044"
"0.20000","0.12879","1.12361"
"0.30000","0.21087","2.29860"
"0.40000","0.29302","4.06162"
"0.50000","0.37471","6.39307"
"0.60000","0.45628","9.27986"
"0.70000","0.53828","12.71441"
"0.80000","0.61977","16.66124"
"0.90000","0.70198","21.17094"
"1.00000","0.78338","26.07791"
"1.04300","0.81855","28.33172"
"1.04400","0.81937","28.38477"
"1.04500","0.82020","28.43797"
"1.14500","0.80396","25.05146"
"1.20500","0.75106","20.03243"
"1.28200","0.68685","15.00747"
"1.38100","0.60540","9.96546"
"1.48100","0.52380","6.16895"
"1.58100","0.44157","3.45171"
"1.68100","0.36016","1.70251"
"1.78100","0.27805","0.70002"
"1.88100","0.19640","0.25053"
"1.98100","0.11456","0.08989"
"2.08100","0.03284","0.05640"
"2.12200","-0.00040","0.04240"
"2.12300","-0.00122","0.04194"
"2.12400","-0.00203","0.04145"
"2.22400","0.01330","0.06411"
"2.32400","0.10075","0.15772"
"2.42400","0.18337","0.47232"
"2.52400","0.26523","1.24680"
"2.62400","0.34718","2.71812"
"2.72400","0.42869","5.01141"
"2.82400","0.51084","8.18764"
"2.92400","0.59227","12.17141"
"3.02400","0.67437","16.97081"
"3.11700","0.75033","22.00270"
"3.20100","0.81878","26.97106"
"3.20200","0.81960","27.03143"
"3.20300","0.82043","27.09175"
"3.30300","0.80425","24.10913"
"3.36400","0.75049","19.07011"
"3.44300","0.68462","14.02427"
"3.54300","0.60241","9.07592"
"3.64300","0.52081","5.44279"
"3.74300","0.43854","2.90652"
"3.84300","0.35717","1.34036"
"3.94300","0.27506","0.51425"
"4.04300","0.19343","0.17781"
"4.14300","0.11153","0.06531"
"4.24300","0.02983","0.03723"
"4.28000","-0.00013","0.02847"
"4.28100","-0.00095","0.02850"
"4.28200","-0.00176","0.02860"
"4.38200","0.01349","0.05965"
"4.48200","0.10097","0.12514"
"4.58200","0.18358","0.34664"
"4.68200","0.26543","0.97003"
"4.78200","0.34740","2.26716"
"4.88200","0.42889","4.39521"
"4.98200","0.51104","7.46299"
"5.08200","0.59241","11.37447"
"5.18200","0.67460","16.16741"
"5.27400","0.74975","21.20289"
"5.35700","0.81735","26.20577"
"5.35800","0.81817","26.26871"
"5.35900","0.81899","26.33172"
"5.36000","0.81981","26.39477"
"5.46000","0.80371","23.55212"
"5.52200","0.74910","18.48455"
"5.60200","0.68239","13.43251"
"5.70200","0.60021","8.58007"
"5.80200","0.51867","5.05437"
"5.90200","0.43634","2.61095"
"6.00200","0.35492","1.15618"
"6.10200","0.27285","0.41505"
"6.20200","0.19126","0.13417"
"6.30200","0.10931","0.05962"
"6.40200","0.02763","0.03122"
"6.43700","-0.00074","0.02488"
"6.43800","-0.00155","0.02478"
"6.43900","-0.00236","0.02471"
"6.53900","0.01287","0.04518"
"6.63900","0.10036","0.09844"
"6.73900","0.18299","0.28105"
"6.83900","0.26484","0.83136"
"6.93900","0.34678","2.00873"
"7.03900","0.42830","4.03951"
"7.13900","0.51044","7.01394"
"7.23900","0.59194","10.88956"
"7.33900","0.67394","15.64984"
"7.43100","0.74916","20.70630"
"7.51400","0.81675","25.75537"
"7.51600","0.81839","25.88088"
"7.51700","0.81921","25.94393"
"7.51800","0.82004","26.00717"
"7.61800","0.80402","23.23437"
"7.68000","0.74940","18.19331"
"7.76000","0.68266","13.14563"
"7.86000","0.60049","8.33438"
"7.96000","0.51891","4.84102"
"8.06000","0.43665","2.44990"
"8.16000","0.35519","1.05616"
"8.26000","0.27315","0.37325"
"8.36000","0.19153","0.12207"
"8.46000","0.10960","0.04956"
"8.56000","0.02791","0.03036"
"8.59500","-0.00048","0.02129"
"8.59600","-0.00129","0.02118"
"8.59700","-0.00210","0.02107"
"8.69700","0.01322","0.03650"
"8.79700","0.10063","0.09235"
"8.89700","0.18327","0.24511"
"8.99700","0.26511","0.73736"
"9.09700","0.34707","1.85545"
"9.19700","0.42857","3.81671"
"9.29700","0.51072","6.73240"
"9.39700","0.59220","10.57912"
"9.49700","0.67423","15.32134"
"9.58800","0.74861","20.33795"
"9.67000","0.81536","25.34160"
"9.67400","0.81864","25.59772"
"9.67500","0.81946","25.66191"
"9.67600","0.82029","25.72618"
"9.77600","0.80443","23.00281"
"9.83800","0.74974","17.96216"
"9.91800","0.68300","12.93629"
"10.01800","0.60083","8.14510"
"10.11800","0.51927","4.68229"
"10.21800","0.43700","2.33883"
"10.31800","0.35552","0.98489"
"10.41800","0.27347","0.33875"
"10.51800","0.19186","0.11421"
"10.61800","0.10995","0.04588"
"10.71800","0.02823","0.02092"
"10.75300","-0.00017","0.02280"
"10.75400","-0.00098","0.02268"
"10.75500","-0.00179","0.02251"
"10.85500","0.01342","0.03787"
"10.95500","0.10092","0.07995"
"11.05500","0.18356","0.21752"
"11.15500","0.26541","0.67242"
"11.25500","0.34736","1.73477"
"11.35500","0.42884","3.63752"
"11.45500","0.51100","6.50895"
"11.55500","0.59248","10.33393"
"11.65500","0.67452","15.07939"
"11.74600","0.74888","20.08879"
"11.82800","0.81565","25.12469"
"11.83100","0.81811","25.31654"
"11.83200","0.81893","25.38064"
"11.83300","0.81975","25.44491"
"11.93300","0.80390","22.76198"
"11.99500","0.74923","17.72676"
"12.07500","0.68247","12.71843"
"12.17500","0.60032","7.95590"
"12.27500","0.51874","4.52944"
"12.37500","0.43652","2.23517"
"12.47500","0.35502","0.92007"
"12.57500","0.27296","0.30881"
"12.67500","0.19135","0.09991"
"12.77500","0.10944","0.04084"
"12.87500","0.02772","0.02530"
"12.91000","-0.00067","0.01665"
"12.91100","-0.00149","0.01687"
"12.91200","-0.00230","0.01707"
"13.01200","0.01292","0.03465"
"13.11200","0.10039","0.07900"
"13.21200","0.18304","0.20583"
"13.31200","0.26487","0.61494"
"13.41200","0.34682","1.63013"
"13.51200","0.42832","3.47360"
"13.61200","0.51047","6.30795"
"13.71200","0.59192","10.09393"
"13.81200","0.67400","14.83544"
"13.90400","0.74916","19.89085"
"13.98600","0.81594","24.93322"
"13.98900","0.81840","25.12628"
"13.99000","0.81922","25.19087"
"13.99100","0.82005","25.25562"
"14.09100","0.80423","22.60234"
"14.15300","0.74955","17.57429"
"14.23400","0.68193","12.52705"
"14.33400","0.59982","7.79412"
"14.43400","0.51821","4.40290"
"14.53400","0.43600","2.14771"
"14.63400","0.35450","0.86556"
"14.73400","0.27244","0.27206"
"14.83400","0.19084","0.09157"
"14.93400","0.10892","0.03597"
"15.03400","0.02722","0.02449"
"15.06800","-0.00037","0.02349"
"15.06900","-0.00119","0.02330"
"15.07000","-0.00200","0.02311"
"15.17000","0.01317","0.04407"
"15.27000","0.10067","0.07264"
"15.37000","0.18332","0.18793"
"15.47000","0.26513","0.58343"
"15.57000","0.34709","1.55373"
"15.67000","0.42859","3.36317"
"15.77000","0.51074","6.17677"
"15.87000","0.59219","9.94115"
"15.97000","0.67428","14.66731"
"16.06100","0.74859","19.67589"
"16.14300","0.81536","24.72755"
"16.14700","0.81865","24.98586"
"16.14800","0.81947","25.05059"
"16.14900","0.82029","25.11541"
"16.24900","0.80459","22.48321"
"16.31100","0.74987","17.45518"
"16.39200","0.68225","12.41206"
"16.49200","0.60012","7.69671"
"16.59200","0.51850","4.31692"
"16.69200","0.43642","2.08906"
"16.79200","0.35477","0.82501"
"16.89200","0.27274","0.26765"
"16.99200","0.19115","0.09406"
"17.09200","0.10922","0.03675"
"17.19200","0.02755","0.02191"
"17.22600","-0.00006","0.01430"
"17.22700","-0.00088","0.01362"
"17.22800","-0.00169","0.01300"
"17.32800","0.01342","0.03269"
"17.42800","0.10091","0.07985"
"17.52800","0.18356","0.18265"
"17.62800","0.26538","0.54372"
"17.72800","0.34733","1.48533"
"17.82800","0.42882","3.27545"
"17.92800","0.51099","6.05328"
"18.02800","0.59241","9.79339"
"18.12800","0.67452","14.52011"
"18.21900","0.74884","19.54474"
"18.30100","0.81562","24.60701"
"18.30400","0.81808","24.80207"
"18.30500","0.81890","24.86703"
"18.30600","0.81972","24.93204"
"18.40600","0.80398","22.30043"
"18.46800","0.74931","17.29773"
"18.54900","0.68168","12.26471"
"18.64900","0.59953","7.56180"
"18.74900","0.51793","4.21177"
"18.84900","0.43584","2.01591"
"18.94900","0.35417","0.79294"
"19.04900","0.27216","0.24512"
"19.14900","0.19059","0.08161"
"19.24900","0.10866","0.03893"
"19.34900","0.02699","0.02367"
"19.38300","-0.00064","0.01623"
"19.38400","-0.00145","0.01620"
"19.38500","-0.00227","0.01614"
"19.48500","0.01286","0.03634"
"19.58500","0.10033","0.06828"
"19.68500","0.18300","0.17110"
"19.78500","0.26478","0.50958"
"19.88500","0.34676","1.42350"
"19.98500","0.42826","3.16260"
"20.08500","0.51043","5.91835"
"20.18500","0.59186","9.63599"
"20.28500","0.67395","14.35174"
"20.37600","0.74827","19.36604"
"20.45800","0.81503","24.43003"
"20.46200","0.81831","24.68915"
"20.46300","0.81913","24.75425"
"20.46400","0.81995","24.81952"
"20.56400","0.80435","22.21373"
"20.62600","0.74963","17.20839"
"20.70700","0.68201","12.18462"
"20.80700","0.59984","7.48359"
"20.90700","0.51825","4.14897"
"21.00700","0.43618","1.97164"
"21.10700","0.35449","0.76130"
"21.20700","0.27249","0.24090"
"21.30700","0.19090","0.07946"
"21.40700","0.10900","0.03583"
"21.50700","0.02732","0.01504"
"21.54100","-0.00033","0.02071"
"21.54200","-0.00114","0.02057"
"21.54300","-0.00196","0.02045"
"21.64300","0.01310","0.03433"
"21.74300","0.10063","0.06250"
"21.84300","0.18330","0.16067"
"21.94300","0.26509","0.48953"
"22.04300","0.34706","1.37377"
