Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24969"
"0.10000","0.04564","0.55474"
"0.20000","0.13997","1.55956"
"0.30000","0.22907","3.14984"
"0.40000","0.31706","5.46740"
"0.50000","0.40563","8.64666"
"0.60000","0.49342","12.63152"
"0.70000","0.58189","17.41037"
"0.79300","0.66375","22.43647"
"0.87800","0.73878","27.48998"
"0.95700","0.80858","32.53247"
"1.03200","0.87436","37.55401"
"1.04100","0.88228","38.17234"
"1.04200","0.88316","38.24067"
"1.04300","0.88404","38.30900"
"1.14300","0.86543","33.90281"
"1.18800","0.82219","28.84971"
"1.24200","0.77346","23.82998"
"1.30400","0.71796","18.82847"
"1.38000","0.65091","13.78389"
"1.47500","0.56705","8.74618"
"1.57500","0.47878","4.90522"
"1.67500","0.39074","2.39159"
"1.77500","0.30230","0.95431"
"1.87500","0.21433","0.31183"
"1.97500","0.12579","0.09324"
"2.07500","0.03799","0.03500"
"2.11800","-0.00011","0.02757"
"2.11900","-0.00099","0.02729"
"2.12000","-0.00187","0.02698"
"2.22000","0.01529","0.06835"
"2.32000","0.10927","0.18887"
"2.42000","0.19859","0.62869"
"2.52000","0.28668","1.74708"
"2.62000","0.37499","3.82751"
"2.72000","0.46304","7.03812"
"2.82000","0.55132","11.44695"
"2.91200","0.63250","16.44711"
"2.99300","0.70371","21.50373"
"3.06500","0.76753","26.52130"
"3.13300","0.82736","31.53275"
"3.19600","0.88268","36.39637"
"3.19700","0.88356","36.47430"
"3.19800","0.88444","36.55219"
"3.29800","0.86598","32.68550"
"3.34300","0.82270","27.68108"
"3.39800","0.77303","22.64319"
"3.46200","0.71574","17.58686"
"3.54000","0.64697","12.56327"
"3.64000","0.55865","7.52984"
"3.74000","0.47049","4.00586"
"3.84000","0.38235","1.78970"
"3.94000","0.29402","0.63437"
"4.04000","0.20596","0.18350"
"4.14000","0.11748","0.05321"
"4.24000","0.02961","0.02358"
"4.27400","-0.00053","0.02776"
"4.27500","-0.00141","0.02775"
"4.27600","-0.00229","0.02759"
"4.37600","0.01487","0.04899"
"4.47600","0.10881","0.14213"
"4.57600","0.19811","0.44016"
"4.67600","0.28618","1.34196"
"4.77600","0.37451","3.19846"
"4.87600","0.46256","6.21542"
"4.97600","0.55084","10.47007"
"5.07000","0.63380","15.50889"
"5.15100","0.70497","20.55412"
"5.22300","0.76882","25.61903"
"5.29000","0.82777","30.62947"
"5.35200","0.88222","35.51910"
"5.35300","0.88310","35.59901"
"5.35400","0.88398","35.67892"
"5.45400","0.86550","31.96386"
"5.50000","0.82129","26.90204"
"5.55600","0.77076","21.82500"
"5.62100","0.71260","16.77628"
"5.70100","0.64211","11.74531"
"5.80100","0.55376","6.87814"
"5.90100","0.46566","3.54469"
"6.00100","0.37748","1.50315"
"6.10100","0.28921","0.49156"
"6.20100","0.20108","0.13249"
"6.30100","0.11264","0.04433"
"6.40100","0.02471","0.01916"
"6.42900","-0.00012","0.02053"
"6.43000","-0.00101","0.02024"
"6.43100","-0.00189","0.01994"
"6.53100","0.01545","0.04977"
"6.63100","0.10925","0.11147"
"6.73100","0.19855","0.36143"
"6.83100","0.28659","1.13888"
"6.93100","0.37493","2.88241"
"7.03100","0.46297","5.78046"
"7.13100","0.55127","9.95144"
"7.22600","0.63508","14.99690"
"7.30700","0.70629","20.03217"
"7.37800","0.76924","25.03240"
"7.44500","0.82818","30.07015"
"7.50700","0.88264","35.01346"
"7.50800","0.88352","35.09414"
"7.50900","0.88440","35.17480"
"7.60900","0.86605","31.55560"
"7.65500","0.82178","26.48716"
"7.71100","0.77124","21.42879"
"7.77600","0.71307","16.39563"
"7.85700","0.64169","11.35946"
"7.95700","0.55333","6.55619"
"8.05700","0.46525","3.30852"
"8.15700","0.37706","1.34363"
"8.25700","0.28881","0.41843"
"8.35700","0.20066","0.11081"
"8.45700","0.11221","0.04286"
"8.55700","0.02430","0.01590"
"8.58500","-0.00055","0.01078"
"8.58600","-0.00143","0.01060"
"8.58700","-0.00231","0.01042"
"8.68700","0.01467","0.04573"
"8.78700","0.10871","0.09989"
"8.88700","0.19804","0.30654"
"8.98700","0.28608","1.00329"
"9.08700","0.37442","2.63945"
"9.18700","0.46246","5.44395"
"9.28700","0.55075","9.52579"
"9.38200","0.63456","14.52820"
"9.46300","0.70576","19.54544"
"9.53500","0.76960","24.60933"
"9.60200","0.82855","29.66737"
"9.66300","0.88212","34.54379"
"9.66400","0.88300","34.62520"
"9.66500","0.88388","34.70662"
"9.76500","0.86537","31.13364"
"9.81100","0.82125","26.09681"
"9.86700","0.77070","21.06043"
"9.93200","0.71255","16.05473"
"10.01300","0.64117","11.04280"
"10.11300","0.55280","6.31029"
"10.21300","0.46473","3.13550"
"10.31300","0.37655","1.24271"
"10.41300","0.28827","0.36087"
"10.51300","0.20014","0.09041"
"10.61300","0.11170","0.03202"
"10.71300","0.02376","0.01287"
"10.74000","-0.00017","0.00521"
"10.74100","-0.00106","0.00523"
"10.74200","-0.00194","0.00534"
"10.84200","0.01516","0.04004"
"10.94200","0.10907","0.08961"
"11.04200","0.19840","0.25886"
"11.14200","0.28643","0.90054"
"11.24200","0.37479","2.47027"
"11.34200","0.46281","5.21372"
"11.44200","0.55111","9.26257"
"11.53800","0.63578","14.27313"
"11.61900","0.70700","19.28521"
"11.69000","0.76997","24.28578"
"11.75700","0.82890","29.35681"
"11.81800","0.88247","34.25283"
"11.81900","0.88335","34.33476"
"11.82000","0.88423","34.41663"
"11.92000","0.86572","30.86712"
"11.96600","0.82162","25.85350"
"12.02200","0.77107","20.82760"
"12.08800","0.71203","15.76768"
"12.17000","0.63979","10.74619"
"12.27000","0.55140","6.07457"
"12.37000","0.46335","2.95888"
"12.47000","0.37514","1.13958"
"12.57000","0.28690","0.31623"
"12.67000","0.19873","0.08371"
"12.77000","0.11035","0.02494"
"12.87000","0.02235","0.00902"
"12.89600","-0.00068","0.01502"
"12.89700","-0.00156","0.01532"
"12.89800","-0.00245","0.01565"
"12.99800","0.01434","0.03676"
"13.09800","0.10847","0.08296"
"13.19800","0.19775","0.23598"
"13.29800","0.28579","0.83267"
"13.39800","0.37417","2.31122"
"13.49800","0.46218","4.99245"
"13.59800","0.55047","8.97776"
"13.69500","0.63603","14.01327"
"13.77600","0.70725","19.02256"
"13.84800","0.77110","24.09254"
"13.91400","0.82913","29.09516"
"13.97500","0.88271","34.01250"
"13.97600","0.88359","34.09410"
"13.97700","0.88447","34.17572"
"14.07700","0.86601","30.64671"
"14.12300","0.82190","25.63478"
"14.17900","0.77134","20.61808"
"14.24500","0.71231","15.57432"
"14.32700","0.64004","10.57364"
"14.42700","0.55166","5.93935"
"14.52700","0.46363","2.87054"
"14.62700","0.37541","1.08117"
"14.72700","0.28717","0.29209"
"14.82700","0.19900","0.07649"
"14.92700","0.11064","0.02779"
"15.02700","0.02261","0.00428"
"15.05300","-0.00042","0.00659"
"15.05400","-0.00130","0.00680"
"15.05500","-0.00218","0.00696"
"15.15500","0.01490","0.03414"
"15.25500","0.10877","0.08112"
"15.35500","0.19805","0.21509"
"15.45500","0.28609","0.75484"
"15.55500","0.37446","2.20142"
"15.65500","0.46248","4.84296"
"15.75500","0.55076","8.78620"
"15.85200","0.63633","13.81098"
"15.93400","0.70844","18.86435"
"16.00500","0.77140","23.87615"
"16.07100","0.82942","28.88258"
"16.13100","0.88214","33.73400"
"16.13200","0.88302","33.81617"
"16.13300","0.88390","33.89825"
"16.23300","0.86561","30.40796"
"16.27900","0.82133","25.39429"
"16.33500","0.77076","20.38005"
"16.40100","0.71172","15.36301"
"16.48400","0.63858","10.32526"
"16.58400","0.55018","5.75017"
"16.68400","0.46217","2.73523"
"16.78400","0.37393","0.99992"
"16.88400","0.28571","0.26149"
"16.98400","0.19751","0.07447"
"17.08400","0.10918","0.03127"
"17.18400","0.02113","0.01257"
"17.20800","-0.00013","0.00801"
"17.20900","-0.00101","0.00775"
"17.21000","-0.00189","0.00756"
"17.31000","0.01488","0.03619"
"17.41000","0.10902","0.07268"
"17.51000","0.19830","0.20165"
"17.61000","0.28636","0.70631"
"17.71000","0.37473","2.11925"
"17.81000","0.46274","4.70669"
"17.91000","0.55104","8.62070"
"18.00800","0.63746","13.67500"
"18.09000","0.70960","18.73154"
"18.16100","0.77254","23.74190"
"18.22700","0.83058","28.77041"
"18.28600","0.88240","33.54134"
"18.28700","0.88328","33.62438"
"18.28800","0.88416","33.70746"
"18.38800","0.86592","30.24486"
"18.43400","0.82162","25.22133"
"18.49100","0.77014","20.15139"
"18.55800","0.71025","15.08705"
"18.64100","0.63711","10.08612"
"18.74100","0.54869","5.56674"
"18.84100","0.46071","2.60573"
"18.94100","0.37243","0.93169"
"19.04100","0.28423","0.23816"
"19.14100","0.19602","0.06380"
"19.24100","0.10769","0.02264"
"19.34100","0.01964","0.01337"
"19.36400","-0.00073","0.01250"
"19.36500","-0.00161","0.01228"
"19.36600","-0.00250","0.01199"
"19.46600","0.01444","0.03372"
"19.56600","0.10843","0.06697"
"19.66600","0.19770","0.18535"
"19.76600","0.28576","0.66628"
"19.86600","0.37412","2.02451"
"19.96600","0.46214","4.56921"
"20.06600","0.55041","8.43478"
"20.16400","0.63686","13.45930"
"20.24600","0.70900","18.50798"
"20.31700","0.77193","23.51652"
"20.38300","0.82999","28.52804"
"20.44300","0.88267","33.40181"
"20.44400","0.88355","33.48453"
"20.44500","0.88443","33.56729"
"20.54500","0.86596","30.09090"
"20.59200","0.82095","25.00221"
"20.64900","0.76951","19.93878"
"20.71600","0.70962","14.89723"
"20.80000","0.63565","9.86838"
"20.90000","0.54721","5.40855"
"21.00000","0.45924","2.51263"
"21.10000","0.37095","0.88014"
