Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.81206","0.05855"
"0.10000","0.82431","0.07681"
"0.20000","0.86665","0.07581"
"0.30000","0.90412","0.08563"
"0.40000","0.94153","0.09554"
"0.50000","0.97849","0.10057"
"0.60000","1.01548","0.11021"
"0.70000","1.05214","0.11605"
"0.80000","1.08913","0.12767"
"0.90000","1.12639","0.14187"
"1.00000","1.16329","0.15847"
"1.10000","1.20028","0.17409"
"1.20000","1.23713","0.20591"
"1.30000","1.27425","0.23197"
"1.40000","1.31141","0.26562"
"1.50000","1.34845","0.32483"
"1.60000","1.38537","0.38993"
"1.70000","1.42226","0.48751"
"1.80000","1.45921","0.61428"
"1.90000","1.49634","0.76678"
"2.00000","1.53360","0.94503"
"2.10000","1.57058","1.15073"
"2.20000","1.60747","1.34733"
"2.30000","1.64449","1.51986"
"2.40000","1.68151","1.67030"
"2.50000","1.71861","1.75383"
"2.60000","1.75549","1.84181"
"2.70000","1.79237","1.91071"
"2.80000","1.82932","1.97813"
"2.90000","1.86647","2.06963"
"3.00000","1.90350","2.14255"
"3.10000","1.94059","2.17386"
"3.20000","1.97740","2.22952"
"3.30000","2.01430","2.28838"
"3.40000","2.05121","2.36750"
"3.50000","2.08838","2.40167"
"3.55000","2.10713","2.43305"
"3.55100","2.10750","2.43305"
"3.55200","2.10787","2.43312"
"3.65200","2.11965","2.14374"
"3.75200","2.11760","1.98063"
"3.85200","2.11629","1.90098"
"3.95200","2.11561","1.84290"
"4.05200","2.11533","1.79676"
"4.15200","2.11528","1.77372"
"4.25200","2.11518","1.73891"
"4.35200","2.11519","1.72323"
"4.45200","2.11519","1.69860"
"4.55200","2.11519","1.68407"
"4.65200","2.11519","1.66995"
"4.75200","2.11519","1.65034"
"4.85200","2.11519","1.63002"
"4.95200","2.11510","1.62584"
"5.05200","2.11509","1.61514"
"5.15200","2.11509","1.60683"
"5.25200","2.11514","1.59382"
"5.35200","2.11514","1.58724"
"5.45200","2.11514","1.57354"
"5.55200","2.11515","1.56958"
"5.65200","2.11515","1.55704"
"5.75200","2.11516","1.54991"
"5.85200","2.11516","1.54312"
"5.95200","2.11516","1.53144"
"6.05200","2.11516","1.52224"
"6.15200","2.11516","1.52588"
"6.25200","2.11519","1.52007"
"6.35200","2.11519","1.51515"
"6.45200","2.11519","1.50290"
"6.55200","2.11519","1.50208"
"6.65200","2.11519","1.49171"
"6.75200","2.11519","1.48797"
"6.85200","2.11519","1.48448"
"6.95200","2.11519","1.48918"
"7.05200","2.11519","1.47875"
"7.15200","2.11519","1.47008"
"7.25200","2.11519","1.47034"
"7.35200","2.11519","1.47223"
"7.45200","2.11519","1.45893"
"7.55200","2.11519","1.45518"
"7.65200","2.11519","1.45256"
"7.75200","2.11519","1.44873"
"7.85200","2.11519","1.45207"
"7.95200","2.11519","1.44619"
"8.05200","2.11519","1.44697"
"8.15200","2.11519","1.43800"
"8.25200","2.11519","1.43318"
"8.35200","2.11519","1.42868"
"8.45200","2.11519","1.43337"
"8.55200","2.11519","1.42206"
"8.65200","2.11519","1.42295"
"8.75200","2.11519","1.42180"
"8.85200","2.11519","1.42190"
"8.95200","2.11519","1.41856"
"9.05200","2.11519","1.41277"
"9.15200","2.11519","1.41370"
"9.25200","2.11519","1.41089"
"9.35200","2.11519","1.40561"
"9.45200","2.11519","1.40728"
"9.55200","2.11519","1.39785"
"9.65200","2.11519","1.40059"
"9.75200","2.11519","1.40089"
"9.85200","2.11519","1.40372"
"9.95200","2.11519","1.38353"
"10.05200","2.11519","1.39128"
"10.15200","2.11519","1.38504"
"10.25200","2.11519","1.37804"
"10.35200","2.11519","1.38033"
"10.45200","2.11519","1.37965"
"10.55200","2.11519","1.38728"
"10.65200","2.11519","1.37851"
"10.75200","2.11519","1.38239"
"10.85200","2.11519","1.36924"
"10.95200","2.11519","1.37506"
"11.05200","2.11519","1.37172"
"11.15200","2.11519","1.36937"
"11.25200","2.11519","1.36816"
"11.35200","2.11519","1.35781"
"11.45200","2.11519","1.36187"
"11.55200","2.11519","1.35810"
"11.65200","2.11519","1.36756"
"11.75200","2.11519","1.35586"
"11.85200","2.11519","1.35132"
"11.95200","2.11519","1.34895"
"12.05200","2.11519","1.34761"
"12.15200","2.11519","1.34775"
"12.25200","2.11519","1.34807"
"12.35200","2.11519","1.34962"
"12.45200","2.11519","1.34909"
"12.55200","2.11519","1.34469"
"12.65200","2.11519","1.34775"
"12.75200","2.11519","1.34482"
"12.85200","2.11519","1.33629"
"12.95200","2.11519","1.33807"
"13.05200","2.11519","1.33482"
"13.15200","2.11519","1.33614"
"13.25200","2.11519","1.33884"
"13.35200","2.11519","1.33919"
"13.45200","2.11519","1.32963"
"13.55200","2.11519","1.32886"
"13.65200","2.11519","1.33043"
"13.75200","2.11519","1.32820"
"13.85200","2.11519","1.33034"
"13.95200","2.11519","1.32387"
"14.05200","2.11519","1.32968"
"14.15200","2.11519","1.31964"
"14.25200","2.11519","1.32499"
"14.35200","2.11519","1.31347"
"14.45200","2.11519","1.32045"
"14.55200","2.11519","1.31685"
"14.65200","2.11519","1.31745"
"14.75200","2.11519","1.31603"
"14.85200","2.11519","1.32017"
"14.95200","2.11519","1.31360"
"15.05200","2.11519","1.32107"
"15.15200","2.11519","1.30615"
"15.25200","2.11519","1.31372"
"15.35200","2.11519","1.30592"
"15.45200","2.11519","1.31049"
"15.55200","2.11519","1.30557"
"15.65200","2.11519","1.31107"
"15.75200","2.11519","1.30573"
"15.85200","2.11519","1.30510"
"15.95200","2.11519","1.30014"
"16.05200","2.11519","1.30675"
"16.15200","2.11519","1.29907"
"16.25200","2.11519","1.29723"
"16.35200","2.11519","1.30178"
"16.45200","2.11519","1.29992"
"16.55200","2.11519","1.29895"
"16.65200","2.11519","1.28997"
"16.75200","2.11519","1.29238"
"16.85200","2.11519","1.29996"
"16.95200","2.11519","1.29152"
"17.05200","2.11519","1.29093"
"17.15200","2.11519","1.29071"
"17.25200","2.11519","1.28620"
"17.35200","2.11519","1.28898"
"17.45200","2.11519","1.29080"
"17.55200","2.11519","1.28612"
"17.65200","2.11519","1.28602"
"17.75200","2.11519","1.29058"
"17.85200","2.11519","1.28166"
"17.95200","2.11519","1.28371"
"18.05200","2.11519","1.27789"
"18.15200","2.11519","1.27989"
"18.25200","2.11519","1.27698"
"18.35200","2.11519","1.28029"
"18.45200","2.11519","1.27775"
"18.55200","2.11519","1.27245"
"18.65200","2.11519","1.27095"
"18.75200","2.11519","1.27145"
"18.85200","2.11519","1.27226"
"18.95200","2.11519","1.27052"
"19.05200","2.11519","1.27745"
"19.15200","2.11519","1.27032"
"19.25200","2.11519","1.26141"
"19.35200","2.11519","1.26756"
"19.45200","2.11519","1.26448"
"19.55200","2.11519","1.26694"
"19.65200","2.11519","1.25818"
"19.75200","2.11519","1.26196"
"19.85200","2.11519","1.27233"
"19.95200","2.11519","1.26833"
"20.05200","2.11519","1.26706"
"20.15200","2.11519","1.26982"
"20.25200","2.11519","1.26384"
"20.35200","2.11519","1.26376"
"20.45200","2.11519","1.26305"
"20.55200","2.11519","1.25687"
"20.65200","2.11519","1.26000"
"20.75200","2.11519","1.25688"
"20.85200","2.11519","1.25610"
"20.95200","2.11519","1.25864"
"21.05200","2.11519","1.26333"
"21.15200","2.11519","1.25682"
"21.25200","2.11519","1.25907"
"21.35200","2.11519","1.25413"
"21.45200","2.11519","1.24999"
"21.55200","2.11519","1.25478"
"21.65200","2.11519","1.25654"
"21.75200","2.11519","1.25025"
"21.85200","2.11519","1.24845"
"21.95200","2.11519","1.25076"
"22.05200","2.11519","1.25216"
"22.15200","2.11519","1.24787"
"22.25200","2.11519","1.24186"
"22.35200","2.11519","1.25165"
"22.45200","2.11519","1.24436"
"22.55200","2.11519","1.24173"
"22.65200","2.11519","1.24823"
"22.75200","2.11519","1.25084"
"22.85200","2.11519","1.24814"
"22.95200","2.11519","1.24705"
"23.05200","2.11519","1.24559"
"23.15200","2.11519","1.23915"
"23.25200","2.11519","1.24209"
"23.35200","2.11519","1.23385"
"23.45200","2.11519","1.24241"
"23.55100","2.11519","1.24253"
"23.55200","2.11519","1.24242"
"23.58400","2.11519","1.23746"
"23.68400","2.09917","1.00522"
"23.78400","2.05667","0.62385"
"23.88400","2.01962","0.44337"
"23.98400","1.98256","0.33028"
"24.08400","1.94550","0.25249"
"24.18400","1.90817","0.20505"
"24.28400","1.87119","0.17010"
"24.38400","1.83408","0.14642"
"24.48400","1.79719","0.12621"
"24.58400","1.76026","0.10641"
"24.68400","1.72316","0.09095"
"24.78400","1.68625","0.08434"
"24.88400","1.64935","0.08450"
"24.98400","1.61250","0.07474"
"25.08400","1.57545","0.06497"
"25.18400","1.53829","0.06682"
"25.28400","1.50125","0.05398"
"25.38400","1.46441","0.06261"
"25.48400","1.42742","0.05477"
"25.58400","1.39037","0.04972"
"25.68400","1.35340","0.04437"
"25.78400","1.31640","0.04882"
"25.88400","1.27942","0.05095"
"25.98400","1.24252","0.04386"
"26.08400","1.20550","0.03382"
"26.18400","1.16827","0.04064"
"26.28400","1.13125","0.03301"
"26.38400","1.09414","0.03614"
"26.48400","1.05735","0.03308"
"26.58400","1.02059","0.03426"
"26.68400","0.98330","0.03771"
"26.78400","0.94632","0.03354"
"26.88400","0.90912","0.02801"
"26.98400","0.87240","0.03350"
"27.08400","0.83527","0.03261"
"27.12600","0.81996","0.02423"
"27.12700","0.81960","0.02397"
"27.12800","0.81923","0.02375"
"27.22800","0.82104","0.04490"
"27.32800","0.86215","0.02658"
"27.42800","0.89985","0.03811"
"27.52800","0.93732","0.04225"
"27.62800","0.97432","0.04581"
"27.72800","1.01129","0.04698"
